date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,3300.0,3325.0,3295.999908,3311.000061,1575000.0,3327.000046,True,0.00483237230602,70.099998,False,-0.97882814959,0.0,3324.3626431,3297.4499702,3270.5372973,0.751741825304,1.63233244747,True,False,False,0.0,3317.77538423,3255.07791914,3255.31128742,1,1,3302.0388322,3242.52837919,3198.77415129,1,1,3261.80005642,1,16.500094007,19.6382772618,19.2802408096,False,True,1.0,-40.0,0,118.856185372,0.0,-14.844977483,-17.1741898719,2.32921238887,1,-0.488279037502,0,64.5132504201,0.0,0.684209522563,0.0,49.5269572236,0.0,55.1386046283,1.0,-22.7640662705,1.0,757875.374855,1,64.4666179706,52.1022807481,1.0,100.0,91.0979117,0.0,0.00818690776434,1,3310.66665633,3360.33325167,3139.33334367,3531.66656433,3089.66674833,3581.33315967,2918.33343567,1
2010-01-05,3319.499969,3329.499817,3307.500076,3327.000046,1310000.0,3309.999847,False,-0.00510976818904,68.839996,False,-0.979308687993,0.0,3326.02658572,3297.7999687,3269.57335168,1.01724365829,1.71184530841,True,True,False,1.0,3318.13713567,3256.0305301,3256.0246084,1,1,3302.17308793,3243.58415751,3200.48746051,1,1,3264.32805416,1,15.583792138,19.6803295396,18.2862470242,False,True,1.0,-36.0,0,164.2481598,0.0,-11.3433814016,-16.0080281778,4.6646467762,1,-0.353716465632,0,64.6803647528,0.0,0.71136858201,0.0,54.0044059478,0.0,60.1711887748,1.0,-3.78753267898,0.0,947252.559083,1,73.9858257599,62.4432181456,1.0,100.0,91.0979117,0.0,0.00545741433018,1,3321.333313,3381.666565,3160.666657,3542.333221,3100.333405,3602.666473,2939.666749,1
2010-01-06,3325.0,3325.0,3309.999847,3309.999847,1760000.0,3322.999954,True,0.00392752495496,68.0,False,-0.979456192404,0.0,3325.15736577,3297.52496715,3269.89256853,0.725729225001,1.67594780288,True,False,False,1.0,3317.81802631,3256.74535549,3256.56167545,1,1,3302.2119083,3244.55259555,3201.54356256,1,1,3268.23835993,1,14.7329404025,18.8707107234,17.5339786418,False,True,1.0,-28.0,0,114.208397334,0.0,-9.82683759541,-14.7717900614,4.94495246594,1,-0.215995910182,0,53.5122934521,0.0,0.333424626852,0.0,49.0278062574,0.0,55.5611602828,1.0,-29.5454158058,0.0,378611.174532,1,76.9834174174,71.811953716,1.0,61.0551018427,87.0183672809,0.0,0.00300216252223,1,3314.999898,3368.999735,3147.999827,3535.999806,3093.99999,3589.999643,2926.999919,1
2010-01-07,3309.999847,3325.500107,3306.999969,3322.999954,1505000.0,3322.000122,False,-0.000300882339404,71.360001,False,-0.978525428231,0.0,3326.92750669,3297.9749679,3269.02242911,0.932172568429,1.75577674594,True,False,False,1.0,3318.02123916,3257.62289984,3257.22275285,1,1,3302.3692976,3245.70649518,3202.78639055,1,1,3271.91404736,1,13.7871846301,18.0027640128,17.4733330763,False,True,1.0,-28.0,0,125.224924233,0.0,-7.48962992278,-13.3153580336,5.82572811086,1,-0.131951808367,0,52.0195754396,0.0,0.54463026971,0.0,52.6232029659,0.0,58.5401704544,1.0,-9.84827951097,0.0,461000.032647,1,81.0912190744,77.3534874172,0.0,89.1912524995,83.4154514474,0.0,0.000904654946643,1,3318.50001,3375.999959,3157.500203,3536.999766,3100.000254,3594.499715,2939.000447,1
2010-01-08,3324.000168,3324.000168,3315.000153,3322.000122,1500000.0,3325.0,True,0.000903033681466,73.75,False,-0.977799519178,0.0,3329.87815917,3299.87497325,3269.87178733,0.868713322851,1.81844379915,True,False,False,1.0,3318.17727379,3258.47557828,3257.86730378,1,1,3302.49043726,3246.86446888,3204.0560202,1,1,3275.36919354,1,12.9089828414,17.5791639941,17.0621904199,False,True,1.0,-24.0,0,109.010121078,0.0,-5.65289108043,-11.782864643,6.12997356257,1,-0.0384345067162,0,60.1495886728,0.0,1.09555874412,0.0,52.3175520544,0.0,60.8109908945,1.0,-11.363176825,0.0,717942.461542,1,75.0292537476,77.7012967465,0.0,66.1042881006,72.1168808143,0.0,-0.00088335357955,0,3320.333481,3379.666901,3161.167145,3538.833237,3101.833725,3598.166657,2942.667389,1
2010-01-11,3331.999969,3343.500137,3308.000183,3325.0,2620000.0,3300.0,False,-0.00751879699248,76.43,False,-0.977013533835,0.0,3332.13152322,3302.32498165,3272.51844008,0.880369830852,1.80518523979,True,False,False,1.0,3318.44483168,3259.35669644,3258.53529081,1,1,3302.71360212,3248.02763068,3205.22805336,1,1,3278.61703094,1,13.0561134076,20.9731340903,15.5117768176,False,True,1.0,-20.0,0,109.140166623,0.0,-3.91012375858,-10.2083164661,6.29819270753,1,0.0260159450341,1,71.3815323102,0.0,1.15607265704,0.0,53.1959535423,0.0,55.9984264341,1.0,-25.1702335322,0.0,722556.145035,1,71.2655505421,75.7953411213,0.0,83.754923928,79.683488176,0.0,-0.002372280662,0,3325.50010667,3390.00015233,3251.00021333,3464.50004567,3186.50016767,3529.00009133,3112.00027433,1
2010-01-12,3311.000061,3327.000046,3300.0,3300.0,1740000.0,3300.0,False,0.0,75.410004,False,-0.977148483636,1.0,3331.97238916,3302.974987,3273.97758484,0.448702525426,1.7558354074,True,False,False,1.0,3317.72150494,3259.89501835,3258.94787498,1,1,3302.7006091,3248.677998,3206.17034746,1,1,3283.80767943,1,12.724654312,19.5202855265,16.4897905689,False,True,1.0,80.0,1,30.2356228867,0.0,-4.49444994507,-9.06554316191,4.57109321683,1,0.0508608538156,1,60.4584543964,0.0,0.441334536692,0.0,45.6487731825,0.0,51.070663575,1.0,-59.1838107454,0.0,105120.275097,1,42.3092387914,62.8680143603,0.0,0.0,49.9530706762,1.0,-0.00379963853213,0,3309.00001533,3356.99996967,3245.00007667,3420.99990833,3197.00012233,3468.99986267,3133.00018367,0
2010-01-13,3311.000061,3322.999954,3299.499893,3300.0,1535000.0,3297.999954,False,-0.000606074545455,75.510002,False,-0.977118181212,1.0,3330.97509173,3302.32498165,3273.67487157,0.459424559912,1.73514782693,True,False,False,1.0,3317.02654397,3260.42621016,3259.35635384,1,1,3302.68410143,3249.42173716,3207.31983308,1,1,3288.58307603,1,12.3872691504,18.330109384,15.614140963,False,True,1.0,80.0,1,20.8095488609,0.0,-4.90103655905,-8.23264184133,3.33160528229,1,0.106987825138,1,53.2271621569,0.0,0.609758428763,0.0,45.6487731825,0.0,42.9398733967,1.0,-59.1838107454,0.0,-624644.846545,0,16.817175652,43.4639883285,1.0,9.41467809021e-14,27.918307976,1.0,-0.00515858617568,0,3307.499949,3353.999837,3241.999944,3419.499842,3195.500056,3465.99973,3130.000051,0
2010-01-14,3309.999847,3309.999847,3292.499924,3297.999954,1325000.0,3247.000122,False,-0.0154638668015,74.360001,False,-0.977453001202,1.0,3330.20918076,3301.724987,3273.24079324,0.434612279519,1.72541286003,True,False,False,1.0,3316.28040318,3260.92387564,3259.74086727,1,1,3302.64477732,3250.0596679,3208.40927646,1,1,3343.500137,0,11.6536998122,17.4756146967,16.7509364714,False,True,1.0,80.0,1,-17.1664490423,0.0,-5.32328288556,-7.65077005018,2.32748716462,1,0.158960279151,1,52.4272151051,0.0,0.258395132426,0.0,45.0556771832,0.0,38.764763516,1.0,-61.9049595074,0.0,-1022987.52606,0,3.9736426746,21.0333523727,1.0,0.0,-4.73695157173e-14,1.0,-0.00646011043645,0,3300.166575,3339.333089,3234.833272,3404.666392,3195.666758,3443.832906,3130.333455,0
2010-01-15,3315.000153,3315.000153,3236.000061,3247.000122,2570000.0,3331.999969,True,0.0261779623672,72.610001,False,-0.977637820058,1.0,3335.57301649,3298.6499977,3261.72697891,-0.199426501305,2.23867453751,True,False,True,0.0,3313.56352941,3260.73945506,3259.61409369,0,1,3301.70655705,3250.02579809,3208.8313306,0,1,3342.48013274,0,13.0141773681,14.2468323703,26.8697957461,False,False,1.0,-16.0,0,-155.317575677,0.0,-9.66180113128,-8.0529762664,-1.60882486488,0,0.153837044074,1,47.6355420655,0.0,-1.18685143871,0.0,33.207621249,0.0,33.4622842342,1.0,-89.7673923505,1.0,-1682951.78507,0,7.3845118911,9.39177673925,1.0,0.0,-4.73695157173e-14,1.0,-0.00810882989484,0,3266.000112,3296.000163,3182.000224,3380.000051,3152.000173,3410.000102,3068.000285,0
2010-01-19,3275.999832,3338.000107,3262.5,3331.999969,5535000.0,3475.999832,True,0.0432172462004,73.57,False,-0.977920167862,0.0,3340.14708031,3300.82500455,3261.50292879,0.896405375995,2.38256046303,True,False,False,0.0,3314.28652704,3261.68330293,3260.33435115,1,1,3302.03232312,3251.28402556,3210.17388191,1,1,3338.22092987,0,13.1246119603,16.3030767164,21.8596729195,False,False,1.0,-16.0,0,30.5265499423,0.0,-6.17020454168,-7.67642192146,1.50621737978,1,0.205130316227,1,60.9616992359,0.0,0.634246681157,0.0,54.6243962068,0.0,47.2404502933,1.0,-10.6978231346,0.0,-318726.938069,0,38.3781498586,16.5787681414,1.0,100.0,33.3333333333,0.0,-0.00933436457576,0,3310.83335867,3385.66665633,3278.16658033,3418.33343467,3203.33328267,3493.16673233,3170.66650433,0
2010-01-20,3375.999832,3502.500153,3340.000153,3475.999832,12475000.0,72.720001,False,-0.979079400312,74.230003,False,-0.978644992351,0.0,3395.38297427,3309.4499969,3223.51701953,1.4690682215,5.19318783799,False,True,False,0.0,3320.62822528,3264.52193245,3262.48027634,1,1,3304.52714737,3256.02627013,3213.29729984,1,1,3236.000061,1,15.1361457868,38.2218165497,15.8837472164,False,True,1.0,8.0,1,393.8109975,0.0,8.12286111162,-4.51656531484,12.6394264265,1,0.450778152635,1,76.255762373,0.0,4.47850267328,0.0,71.3718567305,0.0,59.2263305343,1.0,-9.94383183928,0.0,2943034.32933,1,64.8020967426,36.8549194974,1.0,100.0,66.6666666667,0.0,-0.00903444247957,0,3439.500046,3643.000031,3376.499939,3706.000138,3172.999954,3909.500123,3109.999847,0
