date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,15.22,15.64,15.15,15.45,67079900.0,15.53,True,0.00517799352751,16.110001,True,0.0427185113269,1.0,16.1500470072,15.62850005,15.1069530928,0.328874421038,6.67430598576,True,False,False,1.0,15.5600694134,15.0300222282,15.2832961615,1,1,15.6483101189,14.9744280217,14.3393642593,1,1,15.7244995719,0,15.8418189125,20.2908518039,24.114069031,False,False,1.0,-72.0,0,-47.7425552354,1.0,-0.117928172492,-0.0727737394778,-0.0451544330142,0,-1.62448571147,0,32.6318993024,1.0,-2.15326155795,0.0,46.4453019443,0.0,45.8384046447,1.0,-65.9574468085,1.0,-27340738.6637,0,32.0261437908,29.0622630994,1.0,100.0,44.041623992,0.0,0.0572655500106,1,15.4133333333,15.6966666667,14.3366666667,16.7733333333,14.0533333333,17.0566666667,12.9766666667,0
2010-01-05,15.46,15.67,15.45,15.53,64550600.0,15.45,False,-0.00515132002576,16.370001,True,0.0540889246619,1.0,16.0468185476,15.595,15.1431814524,0.428068468691,5.79440266194,True,False,False,1.0,15.5588902207,15.0366444503,15.285750926,1,1,15.6476141096,14.9793130333,14.3605572118,1,1,15.13,1,15.1943243927,19.9385545982,22.8374390448,False,False,1.0,-72.0,0,13.7404580153,1.0,-0.104211691413,-0.0790613298648,-0.0251503615482,0,-1.55278005987,0,34.3208722231,1.0,-0.384862091084,0.0,48.551180242,0.0,44.0692081321,1.0,-55.0561797753,1.0,-27838473.1509,0,45.6063907044,34.2323779928,1.0,100.0,66.6666666667,0.0,0.0519879721521,1,15.55,15.97,14.61,16.91,14.19,17.33,13.25,0
2010-01-06,15.53,15.62,15.44,15.45,55464900.0,16.25,True,0.0517799352751,16.35,True,0.0582524271845,1.0,15.9601497194,15.5635,15.1668502806,0.356926660426,5.09717890487,True,False,False,1.0,15.554620016,15.0421193583,15.2873852452,1,1,15.6463287146,14.9838053998,14.3770838137,1,1,15.1408,1,14.6331780419,19.0499219802,22.067210426,False,False,1.0,-72.0,0,3.54609929078,1.0,-0.098659329412,-0.0829809297743,-0.0156783996377,0,-1.61513147066,0,35.4736712919,1.0,-0.770712909441,0.0,46.5787214425,0.0,40.3818108156,1.0,-60.9756097561,1.0,-41198363.9425,0,65.3594771242,47.6640038732,1.0,83.1523796843,94.3841265614,0.0,0.0469112416999,1,15.5033333333,15.8766666667,14.5166666667,16.8633333333,14.1433333333,17.2366666667,13.1566666667,0
2010-01-07,15.48,16.48,15.43,16.25,185472300.0,16.6,True,0.0215384615385,16.299999,True,0.00307686153846,1.0,16.0838420799,15.59,15.0961579201,1.16822981152,6.33536985175,True,True,False,1.0,15.5818898193,15.0581177774,15.2969635014,1,1,15.6580988016,14.9981404638,14.409583476,1,1,15.151384,1,15.8088590525,32.7987262814,17.2402510704,False,True,1.0,-72.0,0,223.474178404,0.0,-0.0293672015831,-0.072258184136,0.042890982553,1,-1.32013225504,0,52.671131851,1.0,4.97416020672,0.0,62.837756221,0.0,52.3510159474,1.0,-17.037037037,0.0,-9758268.90798,0,72.0987654321,61.0215444202,1.0,100.0,94.3841265614,0.0,0.0434297559201,1,16.0533333333,16.9766666667,15.6166666667,17.4133333333,14.6933333333,18.3366666667,14.2566666667,0
2010-01-08,16.309999,16.690001,16.27,16.6,115112600.0,16.76,True,0.00963855421687,16.16,False,-0.0265060240964,0.0,16.298879143,15.637,14.975120857,1.22747419994,8.46555148672,False,True,False,1.0,15.6218157087,15.0785400585,15.3099290387,1,1,15.6831263062,15.0195412976,14.4491939618,1,1,15.20452864,1,17.3241019986,34.1399829337,15.6913114262,False,True,1.0,20.0,1,274.302936107,0.0,0.0531763994405,-0.0471712674207,0.100347666861,1,-0.877665677091,0,55.3933107984,1.0,7.72225827385,0.0,67.4984192739,0.0,54.6773593061,1.0,-5.76929117353,0.0,24920130.1048,1,78.7926684126,72.0836369896,1.0,100.0,94.3841265614,0.0,0.0418866307682,1,16.5200003333,17.9100006667,16.3499996667,18.0800013333,14.9599993333,19.4700016667,14.7899986667,1
2010-01-11,16.83,16.879999,16.540001,16.76,76675400.0,16.77,True,0.000596658711217,16.08,False,-0.0405727923628,0.0,16.5172630278,15.6945,14.8717369722,1.14751329605,10.4847306739,False,True,False,1.0,15.6664503868,15.1008110511,15.3243576055,1,1,15.729456695,15.0436587345,14.489416621,1,1,15.2936569816,1,19.0790989227,35.6524519199,14.5997604522,False,True,1.0,24.0,1,213.559293626,0.0,0.130004845833,-0.01173604477,0.141740890603,1,-0.367012333313,0,64.1541642387,1.0,8.54922279793,0.0,69.3884453108,0.0,56.6754965288,1.0,-6.85708963262,0.0,44016829.0662,1,89.6143157226,80.1685831891,0.0,100.0,100.0,0.0,0.0422111459064,1,16.7266666667,18.3233333333,16.5733343333,18.4766656667,14.9766676667,20.0733323333,14.8233353333,1
2010-01-12,16.58,16.84,16.57,16.77,64622800.0,16.83,True,0.00357781753131,16.25,False,-0.031007751938,0.0,16.6808665159,15.737,14.7931334841,1.04721720844,11.9955076056,False,True,False,1.0,15.7097268423,15.122919514,15.338742107,1,1,15.7654433217,15.0675805468,14.5301066951,1,1,15.4205643431,1,20.7087389236,33.6505228705,13.7799659363,False,True,1.0,24.0,1,149.492473902,0.0,0.189514257156,0.0285140156153,0.161000241541,1,0.164662015067,1,63.0574709097,1.0,9.32203389831,0.0,69.5077937799,0.0,61.0064291899,1.0,-6.28566073466,0.0,57727711.0158,1,92.7646136807,87.057199272,0.0,100.0,100.0,0.0,0.0440638269654,1,16.7266666667,18.3233333333,16.5733343333,18.4766656667,14.9766676667,20.0733323333,14.8233353333,1
2010-01-13,16.76,16.92,16.57,16.83,65342400.0,16.700001,False,-0.00772424242424,16.85,True,0.00118835412953,0.0,16.8359862558,15.781,14.7260137442,0.997162874983,13.370334653,False,False,False,1.0,15.7536591229,15.1455298515,15.3535804939,1,1,15.8262435225,15.0936890941,14.57865337,1,1,15.5373191156,1,22.3730541931,32.8659545624,12.7783033851,True,True,1.0,32.0,1,119.999990136,0.0,0.238765057969,0.0705642240861,0.168200833883,1,0.744511561447,1,68.9064273851,1.0,9.00259067358,0.0,70.2570854805,0.0,63.1225056126,1.0,-5.02793296089,0.0,68187105.3574,1,92.69926319,91.6927308644,0.0,100.0,100.0,0.0,0.0472342977824,1,16.7733333333,18.4166666667,16.6266666667,18.5633333333,14.9833333333,20.2066666667,14.8366666667,0
2010-01-14,16.790001,16.870001,16.68,16.700001,57361500.0,16.440001,False,-0.0155688613432,16.68,False,-0.00119766459894,0.0,16.9566362778,15.82850005,14.7003638222,0.886256964588,14.2544931517,False,False,False,1.0,15.7907705691,15.1661188734,15.3669777129,1,1,15.8674942102,15.1162225215,14.6212674925,1,1,15.6755872041,1,23.9184898005,31.5262230792,12.2574149589,True,True,1.0,32.0,1,95.8372674188,0.0,0.264260607803,0.10930350083,0.154957106974,1,1.30924035384,1,67.5156616729,1.0,8.79479478827,0.0,66.4471976608,0.0,61.8556490734,1.0,-12.2904469274,0.0,51858303.3987,1,84.1758627936,89.8799132214,0.0,0.0,66.6666666667,1.0,0.0512056971553,1,16.7500006667,18.3700013333,16.5800013333,18.5400006667,14.9600006667,20.1600013333,14.7900013333,0
2010-01-15,16.68,16.75,16.35,16.440001,74108100.0,16.540001,True,0.00608272469083,16.040001,False,-0.0243308987633,0.0,17.0227267588,15.8660001,14.7092734412,0.748114321411,14.5812006994,False,False,False,1.0,15.816230586,15.1829914843,15.3776545615,1,1,15.8922511877,15.1331256332,14.6557523346,1,1,15.8000284837,1,23.8279254624,28.8590998518,18.1999482476,True,True,1.0,32.0,1,59.1195141251,0.0,0.260483496046,0.139539499873,0.120943996173,1,1.65817001704,1,61.8528085516,1.0,8.65830138797,0.0,59.497888517,0.0,59.5487753548,1.0,-26.8155865922,0.0,27495148.1423,1,58.6344602221,78.5031954019,0.0,0.0,33.3333333333,1.0,0.0553204867219,1,16.5133336667,17.8966673333,16.1066673333,18.3033336667,14.7233336667,19.6866673333,14.3166673333,0
