date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,55.720001,56.200001,55.720001,56.150002,152600.0,56.48,True,0.00587707904267,54.939999,False,-0.021549473854,1.0,56.5362500872,55.954,55.3717499128,0.668314272778,2.08117413299,True,False,False,1.0,55.154456828,52.3924823421,51.7248407067,1,1,55.0708196491,55.053628478,54.1674609105,1,1,56.279999,0,10.7179094422,20.5449280218,27.7852671508,False,False,1.0,20.0,1,11.1200396282,1.0,0.186327786966,0.24463159501,-0.0583038080439,0,-0.00882394873833,0,66.2793535397,0.0,1.20764599856,0.0,55.001531274,0.0,47.9762713131,0.0,-26.4704152245,0.0,32609.9375934,1,47.9188121895,55.683721097,0.0,80.4624232951,50.8804310263,0.0,0.115791540029,1,56.0233346667,57.4866683333,55.2666703333,58.2433326667,53.8033366667,59.7066663333,53.0466723333,1
2010-01-05,56.16,56.48,55.900002,56.48,22000.0,56.59,True,0.00194759206799,55.169998,False,-0.0231940864023,0.0,56.574487798,55.96400005,55.353512302,0.922612863001,2.18171591535,True,False,False,1.0,55.2064389132,52.4466216489,51.7721557246,1,1,55.0969760675,55.0933004205,54.258773642,1,1,54.900002,1,10.3836679294,22.7038938112,25.6220708449,False,False,1.0,20.0,1,90.0410351638,1.0,0.21360223771,0.23842572355,-0.0248234858394,0,0.00297919388756,1,66.7474904559,0.0,1.94945480327,0.0,58.4987557789,0.0,53.9002298091,0.0,-7.05872249111,0.0,50823.7032253,1,58.8478285829,51.4358383631,0.0,100.0,60.1541410984,0.0,0.113665418736,1,56.2866673333,58.0133336667,55.7933356667,58.5066653333,54.0666693333,60.2333316667,53.5733376667,1
2010-01-06,56.349998,56.619999,56.32,56.59,17800.0,56.68,True,0.00159038699417,55.119999,False,-0.0259763385757,0.0,56.6456255138,55.9835,55.3213744862,0.957994736161,2.3654309352,True,False,False,1.0,55.2606962107,52.5015008323,51.8200944736,1,1,55.1360583875,55.1387946489,54.3413571206,1,1,54.93160196,1,9.76886003954,23.6998863934,24.5571030307,False,False,1.0,-40.0,0,140.842536018,1.0,0.241311824616,0.239002943763,0.00230888085306,1,0.0939933462579,1,69.3172334013,0.0,1.41577242681,0.0,59.6251811535,0.0,55.6391302349,0.0,-1.74413094907,0.0,58185.3955816,1,91.2637613046,66.0101340257,0.0,100.0,93.4874744317,0.0,0.111741817426,1,56.5099996667,58.4599983333,56.2400003333,58.7299976667,54.2900016667,60.6799963333,54.0200023333,1
2010-01-07,56.630001,56.709999,56.279999,56.68,33100.0,56.470001,False,-0.00370499294284,55.310001,False,-0.0241707657022,0.0,56.7413318085,56.03699995,55.3326680915,0.956461000795,2.51381001509,True,False,False,1.0,55.3163551829,52.5568451922,51.8684517425,1,1,55.1902446635,55.184747231,54.426498196,1,1,54.9991378416,1,9.14102117126,23.5329024637,23.0765419898,False,True,1.0,-40.0,0,142.023354979,1.0,0.267451109803,0.244692576971,0.022758532832,1,0.189523754229,1,70.157934957,0.0,1.01585989991,0.0,60.568204338,0.0,61.3835780651,0.0,-1.657406062,0.0,64969.7267252,1,98.2351700098,82.7822532991,0.0,100.0,100.0,0.0,0.110020327606,1,56.556666,58.553331,56.333333,58.776664,54.336668,60.773329,54.113335,1
2010-01-08,56.470001,56.470001,56.200001,56.470001,49000.0,56.549999,True,0.00141664598164,55.189999,False,-0.0226669377959,1.0,56.7771226003,56.0814999,55.3858771997,0.779246996835,2.48075640481,True,False,False,1.0,55.3615961953,52.6086750704,51.9142383023,1,1,55.2327706839,55.2226019215,54.4989923814,1,1,55.1017895111,1,8.60036007097,21.9425518575,22.6433376051,False,False,1.0,-40.0,0,82.9239181056,1.0,0.268130673869,0.249380196351,0.0187504775185,1,0.263688042833,1,66.5023742022,0.0,0.96549436796,0.0,57.2104673155,0.0,63.435064574,0.0,-13.2595799883,0.0,77429.7052181,1,90.1544129443,93.2177814196,0.0,39.6814401731,79.893813391,0.0,0.108350213444,1,56.380001,58.200001,55.980003,58.599999,54.160003,60.419999,53.760005,1
2010-01-11,56.5,56.669998,56.029999,56.549999,25900.0,56.610001,True,0.00106104334325,54.709999,False,-0.0325375779405,1.0,56.8292302646,56.12049985,55.4117694354,0.803006009854,2.52574519659,True,False,False,1.0,55.4082002269,52.6608780364,51.9603652744,1,1,55.2913634162,55.2620806695,54.5685959888,1,1,55.1982820804,1,8.33579507657,22.7657994342,20.6404348126,False,True,1.0,-40.0,0,84.0271967809,1.0,0.271989082481,0.253901973577,0.0180871089041,1,0.316706432018,1,74.6638013383,0.0,0.820108753789,0.0,58.1619909428,0.0,66.0963213551,0.0,-13.5593220339,0.0,80638.4941423,1,84.4874270294,90.9590033279,0.0,28.3382415263,56.0065605665,0.0,0.106751822695,1,56.4166653333,58.2733296667,56.0533316667,58.6366633333,54.1966673333,60.4933276667,53.8333336667,1
2010-01-12,56.34,56.650002,56.34,56.610001,21200.0,57.009998,True,0.00706583629984,55.130001,False,-0.0261437903879,0.0,56.8880892415,56.155,55.4219107585,0.81033124907,2.61094912837,True,False,False,1.0,55.4553296689,52.7131843008,52.0066303065,1,1,55.3375099044,55.3035949627,54.6414543316,1,1,55.2889850956,1,8.09012758177,21.7616880423,19.7300650367,False,True,1.0,-40.0,0,104.085881979,1.0,0.276698945838,0.258461368029,0.0182375778089,1,0.366139409355,1,73.8845421372,0.0,0.873132588616,0.0,58.900222798,0.0,75.7226234337,0.0,-8.47440677966,0.0,79625.0681196,1,80.4329936629,85.0249445455,0.0,50.3242353741,39.4479723578,0.0,0.105231400835,1,56.5333343333,58.1666666667,56.2866696667,58.4133313333,54.6533373333,60.0466636667,54.4066726667,1
2010-01-13,56.75,57.150002,56.669998,57.009998,10400.0,57.080002,True,0.00122792496853,56.240002,False,-0.0135063326962,0.0,57.0057082319,56.18699995,55.3682916681,1.00261983921,2.91422671655,False,True,False,1.0,55.5162970545,52.7700957405,52.0564150597,1,1,55.4379365862,55.3606216849,54.7397510734,1,1,55.3742459299,1,8.92079682546,27.1743565693,18.2223536604,False,True,1.0,64.0,1,183.627870035,1.0,0.309144337974,0.268597962018,0.0405463759561,1,0.452533723047,1,73.2256912619,0.0,1.45933264743,0.0,63.5212394768,0.0,73.6791947184,0.0,-8.64220621814,0.0,73350.5910038,1,84.3469761751,83.0891322891,0.0,100.0,59.5541589668,0.0,0.103961062968,1,56.9433326667,58.9866633333,56.7366633333,59.1933326667,54.6933326667,61.2366633333,54.4866633333,1
2010-01-14,56.869999,57.119999,56.860001,57.080002,21700.0,56.630001,False,-0.00788368928228,56.110001,False,-0.0169937099862,0.0,57.1384568594,56.23200005,55.3255432406,0.967756401213,3.22398921807,False,False,False,1.0,55.577618817,52.8271805916,52.1064009994,1,1,55.5263062038,55.4186281415,54.839413888,1,1,55.5163064155,1,9.69213255174,26.1386586157,17.5278439543,False,True,1.0,64.0,1,166.666882494,1.0,0.336625869272,0.282203543469,0.0544223258032,1,0.534449192709,1,81.503767177,0.0,1.67439083852,0.0,64.278215323,0.0,72.7522111379,0.0,-4.32097965251,0.0,68895.7368353,1,88.8480349486,84.5426682622,0.0,100.0,83.4414117914,0.0,0.102915690727,1,57.0200006667,59.1399993333,56.8899993333,59.2700006667,54.7700006667,61.3899993333,54.6399993333,1
2010-01-15,57.040001,57.150002,56.450001,56.630001,21400.0,57.02,True,0.00688679133168,54.599998,False,-0.0358467766935,0.0,57.1748999269,56.2520001,55.3291002731,0.704789777285,3.28130493218,False,False,False,1.0,55.6188887066,52.8775490739,52.1514119446,1,1,55.5786333183,55.4561824233,54.9086962226,1,1,55.6470020622,1,9.30446330156,23.5376041858,21.6120772548,False,True,1.0,72.0,1,83.7793049718,1.0,0.318423275625,0.2894474899,0.0289757857248,1,0.529513581963,1,77.1307397476,0.0,1.98091485649,0.0,56.2042576097,0.0,64.2975387597,0.0,-32.0987677183,0.0,57502.7699606,1,78.2737189097,83.8229100111,0.0,0.0,66.6666666667,1.0,0.101816502221,1,56.7433346667,58.5866673333,56.3366673333,58.9933346667,54.4933346667,60.8366673333,54.0866673333,1
