date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,20.370001,20.549999,20.27,20.549999,664200.0,20.68,True,0.0063260830329,18.719999,False,-0.0890510992239,0.0,20.5450792996,19.9479998,19.3509203004,1.00411980351,5.98635959045,False,True,False,0.0,19.2456053522,18.471529903,18.4410376871,1,1,19.0307651374,18.3664679362,18.4703792219,1,1,19.8229575576,1,34.1714915232,33.6663441839,15.6929566887,True,True,1.0,96.0,1,122.917839601,1.0,0.39375582076,0.40386546403,-0.0101096432697,0,2.04808394541,1,79.6570383647,0.0,4.90045431343,0.0,68.2596599868,0.0,56.2399598121,0.0,-0.0,0.0,694259.549529,1,49.1665833333,52.6708012821,0.0,81.3386701114,27.1128900371,0.0,0.164699839998,1,20.456666,22.773333,20.363333,22.866666,18.046666,25.183333,17.953333,0
2010-01-05,20.610001,20.76,20.459999,20.68,1214800.0,20.34,False,-0.0164410058027,18.9,False,-0.0860735009671,0.0,20.6327858993,20.01249985,19.3922138007,1.03805832867,6.19898617349,False,True,False,0.0,19.3018561227,18.5007811626,18.463315919,1,1,19.1208834841,18.4045596842,18.5167169835,1,1,19.881120873,1,34.807420213,36.4357629055,14.4968136786,True,True,1.0,100.0,1,149.707718169,1.0,0.410108237668,0.405114018758,0.00499421891049,1,2.05894107675,1,81.0997069773,0.0,4.44444971942,0.0,69.9206686833,0.0,60.8086372882,0.0,-6.66666111112,0.0,828264.024156,1,63.0630630631,50.7431599099,0.0,100.0,60.4462233705,0.0,0.170615008172,1,20.633333,23.106666,20.506666,23.233333,18.033333,25.706666,17.906666,0
2010-01-06,20.719999,20.73,20.27,20.34,804600.0,20.26,False,-0.0039331366765,18.6,False,-0.0855457227139,0.0,20.6674001465,20.0394999,19.4115996535,0.739289681488,6.26662591052,False,False,False,0.0,19.3425676473,18.525141677,18.4819893925,1,1,19.183868591,18.4354591967,18.5454051167,1,1,19.9690087857,1,34.4514242057,32.3625186223,17.4936700916,True,True,1.0,96.0,1,85.7083887915,1.0,0.391123855044,0.402315986015,-0.0111921309708,0,2.04157392081,1,76.9273114324,0.0,1.34529147982,0.0,60.9387200504,0.0,54.8815804326,0.0,-34.9999708334,0.0,629694.026402,1,77.4774774775,63.235707958,0.0,10.6272859122,63.9886520079,1.0,0.175967361919,1,20.4466666667,22.5833343333,20.1333333333,22.8966676667,17.9966656667,25.0333353333,17.6833323333,0
2010-01-07,20.34,20.379999,20.16,20.26,471900.0,20.110001,False,-0.00740370187562,18.57,False,-0.0834155972359,0.0,20.6773101116,20.07049995,19.4636897884,0.656144427036,6.0467867078,False,False,False,0.0,19.3785453866,18.5481199329,18.4996810403,1,1,19.2490165471,18.4624423249,18.5742485006,1,1,20.0481079071,1,33.6146154557,30.6005837199,19.2634469845,True,True,1.0,92.0,1,24.2688944747,1.0,0.365411032703,0.394934995352,-0.0295239626497,0,1.9029122497,1,72.6383978111,0.0,-0.246179234179,0.0,59.0176523199,0.0,53.2300871778,0.0,-41.6666319445,0.0,477566.554469,1,54.954954955,65.1651651652,0.0,0.0,36.8757619707,1.0,0.1806259141,1,20.2666663333,22.2233336667,19.7733326667,22.7166673333,17.8166653333,24.6733346667,17.3233316667,1
2010-01-08,20.25,20.25,20.02,20.110001,549100.0,20.15,True,0.00198901034366,18.4,False,-0.0850323677259,0.0,20.670872361,20.0925,19.514127639,0.515129526564,5.75709703648,False,False,False,0.0,19.4072299205,18.5688070994,18.5157041245,1,1,19.296816854,18.4858201567,18.5997288658,1,1,20.76,0,32.2272577402,28.7609713822,21.6122075708,True,True,1.0,88.0,1,-45.787970242,1.0,0.329135698587,0.381775135999,-0.0526394374124,0,1.68584810345,1,70.5978981128,0.0,-0.0497017867941,0.0,55.4857103508,0.0,53.5705114985,0.0,-54.6217647059,0.0,333937.741315,1,29.2793243243,53.9039189189,0.0,0.0,3.5424286374,1.0,0.184390915006,1,20.126667,21.943335,19.493334,22.576668,17.676666,24.393336,17.043333,0
2010-01-11,20.219999,20.219999,20.030001,20.15,471300.0,19.83,False,-0.0158808933002,18.219999,False,-0.0957816873449,0.0,20.6592698663,20.1175,19.5757301337,0.529994285418,5.38605558615,False,False,False,0.0,19.4363581589,18.5897500517,18.531965775,1,1,19.3501492341,18.5118380718,18.6228985604,1,1,20.7452,0,30.9389970043,27.3587538719,20.5585221618,True,True,1.0,84.0,1,-67.3294473176,1.0,0.300154822017,0.365451073203,-0.0652962511862,0,1.43325438276,1,70.5237408348,0.0,-0.198122823273,0.0,56.2378112675,0.0,53.7184702828,0.0,-70.9302325581,0.0,284285.857151,1,20.7207657658,34.985015015,0.0,5.21027424793,1.73675808264,1.0,0.18738479749,1,20.1333333333,21.9566676667,19.5066666667,22.5833343333,17.6833323333,24.4066686667,17.0566656667,0
2010-01-12,20.059999,20.07,19.73,19.83,1496000.0,19.889999,True,0.00302566817953,18.42,False,-0.071104387292,0.0,20.6607711776,20.11599995,19.5712287224,0.237504538125,5.41629776233,False,False,False,0.0,19.4517950939,18.6061772033,18.5448815384,1,1,19.3718977034,18.5292165616,18.6401087858,1,1,20.730696,0,28.9184263545,24.5136110541,25.8487204437,True,False,0.0,80.0,1,-183.14170984,1.0,0.24850137374,0.34206113331,-0.0935597595699,0,1.18578611053,1,60.8960088088,0.0,-2.55528255528,0.0,49.091692875,0.0,51.5952720995,0.0,-90.2912621359,1.0,42129.5538885,1,13.2432882883,21.0811261261,1.0,0.0,1.73675808264,1.0,0.189198226638,1,19.8766666667,21.3533333333,18.9933333333,22.2366666667,17.5166666667,23.7133333333,16.6333333333,0
2010-01-13,19.83,19.889999,19.719999,19.889999,469300.0,19.66,False,-0.0115635501037,18.620001,False,-0.0638510841554,0.0,20.6600319673,20.11699985,19.5739677327,0.290987638875,5.39873859255,False,False,False,0.0,19.4689795608,18.6231814655,18.5582657918,1,1,19.4060357452,18.5460154273,18.6629988872,1,1,20.69066816,0,27.078808271,23.4505806781,24.982906354,True,False,0.0,76.0,1,-160.11573379,1.0,0.20998646841,0.31564620033,-0.10565973192,0,0.963845502163,1,51.9384201843,0.0,-2.06794692604,0.0,50.3652154714,0.0,46.4165894231,0.0,-83.6538618713,1.0,88558.379473,1,17.775047775,17.2463672764,1.0,12.8302216367,6.01349862822,1.0,0.190059982388,1,19.8333323333,20.9566656667,18.9066646667,21.8833333333,17.7833313333,23.0066666667,16.8566636667,0
2010-01-14,19.85,19.950001,19.610001,19.66,416400.0,19.440001,False,-0.0111901831129,18.559999,False,-0.0559512207528,0.0,20.6672605169,20.11349985,19.5597391831,0.09052721048,5.50635812787,False,False,False,0.0,19.4764705584,18.6369141613,18.5692283212,1,1,19.4204505477,18.5564070487,18.6789179574,1,1,20.6324280104,0,25.7767907607,21.4473679744,25.6124246258,True,False,0.0,72.0,1,-156.906327974,1.0,0.159070466019,0.284331053468,-0.125260587449,0,0.70387284451,1,53.6724649835,0.0,-2.72142022372,0.0,45.6507492486,0.0,40.5442374878,0.0,-95.6522570889,1.0,5977.45415843,1,14.5233105715,15.1805488783,1.0,0.0,4.27674054558,1.0,0.189752317444,1,19.7400006667,20.4900013333,18.7200013333,21.5100006667,17.9700006667,22.2600013333,16.9500013333,0
2010-01-15,19.700001,19.75,19.280001,19.440001,1005500.0,19.59,True,0.00771599754547,18.0,False,-0.074074121704,0.0,20.7102592538,20.0939999,19.4777405462,-0.0306198566565,6.1337648742,False,False,True,0.0,19.4750403796,18.6475510731,18.577892726,1,1,19.421328949,18.5632992309,18.6887040493,1,1,20.5506338496,0,25.6060666314,19.0276669617,30.6442706171,True,False,0.0,-32.0,0,-180.085643976,1.0,0.0998164645322,0.247428135681,-0.147611671149,0,0.380410350503,1,48.2715329231,0.0,-2.8970979021,0.0,41.6360687233,0.0,42.3895251999,0.0,-89.1891818846,1.0,-130454.492535,0,16.8637481752,16.3873688406,1.0,0.0,4.27674054558,1.0,0.188128510543,1,19.4900006667,19.8300013333,18.2200013333,21.1000006667,17.8800006667,21.4400013333,16.6100013333,0
