date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2012-09-24,34.529999,34.529999,33.470001,33.700001,2424400.0,33.740002,True,0.00118697325855,31.15,False,-0.0756676832146,0.0,36.4658255559,34.8585004,33.2511752441,0.139618842602,9.22199829287,False,False,False,0.0,36.4294804602,35.7852517873,35.6997520198,0,1,36.4200106107,41.3677884868,34.5235296882,0,1,36.6682978632,0,15.9090771449,16.7147524325,26.2870341278,False,False,1.0,76.0,1,-177.410414184,0.0,-0.414043984109,-0.43418231972,0.0201383356112,1,1.60733686512,1,52.3044665012,0.0,-4.50552551699,1.0,37.7757486639,1.0,37.1487975027,1.0,-93.4285714286,1.0,-1479621.19981,0,19.3843833397,21.1922780554,1.0,0.0,1.66715521105,1.0,-0.331217094773,0,33.9000003333,35.5200016667,30.8299996667,38.5900023333,29.2099983333,40.2100036667,26.1399976667,0
2012-09-25,33.75,34.439999,33.700001,33.740002,2135900.0,33.240002,False,-0.0148192048121,31.219999,False,-0.0746888811684,0.0,36.4826308052,34.84700045,33.2113700948,0.161598830539,9.38749581922,False,False,False,0.0,36.3240107167,35.7581623862,35.6802520196,0,1,36.2136719273,41.3139830002,34.5168964639,0,1,36.4764000514,0,16.3627284457,15.928632929,25.0507160728,False,False,1.0,72.0,1,-129.924474572,0.0,-0.469201280082,-0.441186111793,-0.028015168289,0,1.12458867786,1,51.16994682,0.0,-4.63538426695,1.0,38.1591971877,1.0,36.2386619323,1.0,-92.2856857143,1.0,-2078356.20786,0,17.6328421766,21.2280028264,1.0,5.19407336866,3.3985130006,1.0,-0.328148736239,0,33.9600006667,35.6400023333,30.9500003333,38.6500026667,29.2699986667,40.3300043333,26.2599983333,0
2012-09-26,33.849998,34.09,33.049999,33.240002,1886400.0,33.419998,True,0.00541504179212,31.49,False,-0.0526474697565,0.0,36.5602163876,34.79600065,33.0317849124,0.0590112317795,10.1403362722,False,False,False,0.0,36.2030691984,35.7248092685,35.6559709249,0,1,35.9871058,41.264452785,34.5076688433,0,1,36.2960161083,0,17.3277850859,14.8701317789,27.5393320281,False,False,1.0,-32.0,0,-141.319685607,0.0,-0.546954702509,-0.462339829936,-0.0846148725734,0,0.698358703555,1,43.2967556759,0.0,-5.70212198582,1.0,35.2362503522,1.0,35.209393018,1.0,-95.1529871668,1.0,-2515256.22356,0,11.1865746114,16.0679333759,1.0,0.0,1.73135778955,1.0,-0.325641719037,0,33.4600003333,34.5500016667,29.9499996667,38.0600023333,28.8599983333,39.1500036667,25.3499976667,0
2012-09-27,32.389999,34.07,31.709999,33.419998,3641000.0,32.93,False,-0.0146618201473,31.18,False,-0.0670256772607,0.0,36.6048006906,34.7565006,32.9082005094,0.138450864441,10.6357087662,False,False,False,0.0,36.0939291514,35.6942819669,35.6337224381,0,1,35.7989472997,41.2226122721,34.4993392097,0,1,36.0363347396,0,19.1184871116,12.7926531353,31.6244410188,False,False,1.0,-36.0,0,-141.159898497,0.0,-0.58728086877,-0.487328037703,-0.0999528310674,0,0.296593331106,1,39.8906468471,0.0,-8.03522839846,1.0,37.1040149661,1.0,46.1110763377,1.0,-67.490525669,1.0,-1944986.86429,0,25.3322158327,18.0505442069,1.0,24.3679968846,9.85402341775,1.0,-0.323425413239,0,33.0666656667,34.4233323333,29.1633303333,38.3266676667,27.8066636667,39.6833343333,23.9033283333,0
2012-09-28,33.380001,33.400002,32.57,32.93,2988400.0,31.940001,False,-0.0300637412694,31.09,False,-0.0558761008199,1.0,36.6817605638,34.71750065,32.7532407362,0.0449938581364,11.3156758236,False,False,False,0.0,35.9698534984,35.6576689607,35.6068197272,0,1,35.5856851432,41.1821400783,34.4879010959,0,1,35.6037011657,0,20.7812818498,12.1350645848,29.9988305914,False,False,1.0,-36.0,0,-124.923454643,0.0,-0.651270943547,-0.520116618872,-0.131154324675,0,-0.150318674628,0,37.4359730634,0.0,-8.6799803472,1.0,34.2114828289,1.0,43.6603257447,1.0,-76.8060734578,1.0,-1660896.72104,0,34.5204478317,23.679746092,1.0,0.0,8.12266562819,1.0,-0.32174060757,0,32.9666673333,34.2233356667,28.9633336667,38.2266693333,27.7066653333,39.4833376667,23.7033316667,0
2012-10-01,33.23,33.27,31.700001,31.940001,3920200.0,32.389999,True,0.0140888536603,30.57,False,-0.0428929541987,1.0,36.8902364633,34.64250075,32.3947650367,-0.101160477624,12.9767520512,False,False,True,0.0,35.8118200671,35.6084283255,35.5703339688,0,1,35.2972228915,41.1413366936,34.470366414,0,1,35.2143309491,0,22.8130185476,11.0093660856,32.3564447789,True,False,0.0,-44.0,0,-141.123871044,0.0,-0.772958005625,-0.570684896222,-0.202273109403,0,-1.03551942165,0,34.938970936,0.0,-10.8070368387,1.0,29.2500312946,1.0,38.4299769114,1.0,-95.4459203036,1.0,-2259672.29087,0,34.304796508,31.3858200575,1.0,0.0,8.12266562819,1.0,-0.321133490201,0,32.303334,32.906667,27.636667,37.573334,27.033334,38.176667,22.366667,0
2012-10-02,32.0,32.66,31.799999,32.389999,1951800.0,32.119999,False,-0.00833590640123,29.93,False,-0.0759493385597,1.0,36.9822503374,34.5295006,32.0767508626,0.0638565224651,14.2066910601,False,False,False,0.0,35.6776310056,35.5658001225,35.5386888447,0,1,35.0573438205,41.1039658515,34.4570102748,0,1,34.7926113552,0,24.6996311956,10.4381657578,30.6776912776,True,False,0.0,-44.0,0,-118.83809065,0.0,-0.823590957332,-0.621266108444,-0.202324848888,0,-1.74055395914,0,30.7468528139,0.0,-6.73769363663,1.0,33.9396570891,1.0,40.8213311396,1.0,-86.9070588235,1.0,-2068122.25475,0,26.9639328581,31.9297257326,1.0,59.7101546247,19.9033848749,1.0,-0.321035138425,0,32.2833326667,32.8666643333,27.5966643333,37.5533326667,27.0133326667,38.1366643333,22.3266643333,0
2012-10-03,32.41,32.77,31.99,32.119999,2502900.0,33.400002,True,0.0398506550389,30.700001,False,-0.044209154552,1.0,36.9957061705,34.36550045,31.7352947295,0.0731319735771,15.3072452667,False,False,False,0.0,35.538116025,35.5201603725,35.5046720303,0,1,34.8490402755,41.0634958662,34.4425814896,0,1,34.4214981126,0,26.2693788505,10.6149079068,29.1980374371,True,False,0.0,-44.0,0,-104.63339504,0.0,-0.875413458443,-0.672095578444,-0.203317879999,0,-2.43230546098,0,31.5012172583,0.0,-7.96562418535,1.0,32.5457184248,1.0,39.4346793909,1.0,-92.030398482,1.0,-2332669.98608,0,18.4502646141,26.5729979934,1.0,41.9619809264,33.8907118504,1.0,-0.321475573057,0,32.293333,32.886665,27.616665,37.563333,27.023333,38.156665,22.346665,0
2012-10-04,32.639999,33.450001,32.150002,33.400002,1924400.0,33.490002,True,0.00269461061709,31.5,False,-0.0568862840188,0.0,36.8758851771,34.2630005,31.6501158229,0.3348571394,15.2519314655,False,False,False,0.0,35.4542684162,35.4920788047,35.48373004,0,0,34.8265431851,41.0265742001,34.4356649791,0,1,34.0949184591,0,26.6570594686,13.9111375422,26.8224135576,True,False,0.0,-44.0,0,-50.3222607385,0.0,-0.803930409929,-0.698462544741,-0.105467865188,0,-2.66126390104,0,30.5165779447,0.0,-3.13224477958,1.0,44.2381601905,1.0,48.2197198553,1.0,-62.9629411765,1.0,-1663623.85277,0,47.9115258823,31.1085744515,1.0,100.0,67.2240451837,0.0,-0.321377223656,0,33.0000016667,34.3000023333,29.0300023333,38.2700016667,27.7300016667,39.5700023333,23.7600023333,0
2012-10-05,33.509998,34.18,33.330002,33.490002,2723000.0,33.57,True,0.00238871290602,31.4,False,-0.0624067445562,0.0,36.7141172163,34.15700055,31.5998838837,0.369579953315,14.9727237471,False,False,False,0.0,35.3772383606,35.4655612311,35.46389195,0,0,34.8133565335,40.9870977972,34.4300588506,0,1,31.700001,1,26.0236893668,17.7276832633,25.4000553685,True,False,0.0,-44.0,0,9.45478192629,0.0,-0.731584085197,-0.705086852832,-0.026497232365,0,-2.92536127379,0,37.1890247393,0.0,-3.01186513211,1.0,44.9605736001,1.0,48.4448979802,1.0,-60.13359026,1.0,-1778915.41313,0,62.3472817145,42.9030240703,1.0,100.0,80.6539936421,0.0,-0.320694409817,0,33.666668,35.633335,30.363335,38.936668,28.396668,40.903335,25.093335,0
