date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,2294.409912,2311.149902,2294.409912,2308.419922,1931380000.0,2308.709961,True,0.000125643951187,2205.290039,False,-0.044675529793,0.0,2320.49822124,2231.38199455,2142.26576786,0.932232884585,7.98753659448,False,False,False,1.0,2189.19633126,2053.56790122,2016.1834755,1,1,2159.00863792,2168.4282178,2142.34834634,1,1,2255.89130683,1,19.7779045953,35.103710481,18.4665572547,False,True,1.0,96.0,1,103.223862546,0.0,34.583257552,28.9003454312,5.68291212074,1,1.8743412694,1,72.5453437631,0.0,5.88839109721,0.0,68.8757964744,0.0,66.9479559562,0.0,-2.05107664544,0.0,1177422476.43,1,60.9755298612,69.7632615006,0.0,80.1419129943,54.8984675025,0.0,0.119989133377,1,2304.659912,2495.329834,2298.169922,2501.819824,2107.5,2692.489746,2101.01001,1
2010-01-05,2307.27002,2313.72998,2295.620117,2308.709961,2367860000.0,2301.090088,False,-0.00330048950657,2210.800049,False,-0.0424089269133,0.0,2330.54821231,2237.0999877,2143.65176309,0.883153203803,8.35440750313,False,False,False,1.0,2193.88314027,2056.94726625,2019.0941868,1,1,2162.85148584,2172.66042315,2148.57979622,1,1,2266.94302587,1,20.6554990657,34.0020446672,17.4911498078,False,True,1.0,100.0,1,92.6255767826,0.0,35.6640186752,30.25308008,5.4109385952,1,2.02224668434,1,73.2635788104,0.0,4.38669174198,0.0,68.9173580482,0.0,64.8898520038,0.0,-3.69989796059,0.0,1446755174.48,1,60.8015555713,60.1295453772,0.0,85.5466268038,55.2295132661,0.0,0.123343427271,1,2306.02001933,2498.05004867,2298.31005867,2505.76000933,2106.28002933,2697.79003867,2098.57006867,1
2010-01-06,2307.709961,2314.070068,2295.679932,2301.090088,2253340000.0,2300.050049,False,-0.00045197665464,2203.72998,False,-0.0423104286563,0.0,2337.41669969,2242.67398675,2147.93127381,0.808288096455,8.4490847532,False,False,False,1.0,2198.0873343,2060.18094601,2021.90011617,1,1,2166.51095604,2176.57496258,2153.5267003,1,1,2276.30041669,1,21.4804539492,32.2462082087,16.5359718043,False,True,1.0,100.0,1,80.1491263137,0.0,35.496488163,31.3017616966,4.19472646635,1,2.18854623945,1,72.0536453897,0.0,2.83466561026,0.0,66.4084034925,0.0,60.0786111307,0.0,-9.54269827002,0.0,1130290623.74,1,84.4618260942,68.7463038423,0.0,51.6459175767,72.444819125,0.0,0.126672625899,1,2303.61336267,2493.23673533,2293.15665733,2503.69344067,2103.53328467,2693.31681333,2093.07657933,1
2010-01-07,2298.090088,2301.300049,2285.219971,2300.050049,2270050000.0,2317.169922,True,0.00744326107488,2221.409912,False,-0.0341906199103,0.0,2341.23311581,2249.0269897,2156.82086359,0.776679334942,8.19964602767,False,False,False,1.0,2202.08587213,2063.35802022,2024.66777719,1,1,2170.45419909,2180.13059362,2158.66334708,1,1,2283.85434695,1,21.6405137091,30.6691228433,18.908638102,False,True,1.0,72.0,1,57.7456273582,0.0,34.8777476059,32.0169588785,2.86078872745,1,2.24467510209,1,62.9632928629,0.0,2.10328759386,0.0,66.0549306997,0.0,62.7824798156,0.0,-10.3073202776,0.0,1508067222.16,1,76.2319781526,73.8317866061,0.0,54.7886399091,63.9937280965,0.0,0.129890191848,1,2295.52335633,2477.05672267,2276.97664467,2495.60343433,2095.44327833,2677.13680067,2076.89656667,1
2010-01-08,2292.23999,2317.600098,2290.610107,2317.169922,2145390000.0,2312.409912,False,-0.00205423432904,2179.0,False,-0.0596287396484,0.0,2347.34973399,2255.6989868,2164.04823961,0.835354250153,8.12615049496,False,False,False,1.0,2206.59897213,2066.71976726,2027.57824629,1,1,2176.45680587,2184.2386732,2164.25481404,1,1,2285.219971,1,22.3188433157,33.0834157085,17.3727993427,True,True,1.0,80.0,1,86.945965055,0.0,35.3612000287,32.6858071085,2.67539292016,1,2.29232569005,1,70.9429205006,0.0,2.09416608981,0.0,68.9816879904,0.0,70.5130771419,0.0,-0.33896104943,0.0,2186379457.7,1,79.5393502597,80.0777181689,0.0,100.0,68.8115191619,0.0,0.133153920485,1,2308.46004233,2502.93009467,2299.31998667,2512.07015033,2104.84993433,2706.54020267,2095.70987867,1
2010-01-11,2324.780029,2326.280029,2302.209961,2312.409912,2077890000.0,2282.310059,False,-0.0130166597383,2147.350098,False,-0.0713799976135,0.0,2351.52348619,2261.77647705,2172.02946791,0.782089817996,7.9359751111,False,False,False,1.0,2210.74842075,2069.97394136,2030.41239222,1,1,2184.85422089,2188.1084797,2169.03300651,1,1,2285.219971,1,23.2084756517,33.2988926123,16.1156349932,True,True,1.0,84.0,1,103.821976836,0.0,34.9572807585,33.1401018385,1.81717891994,1,2.29084609341,1,70.155157414,0.0,1.16901118217,0.0,67.2456227607,0.0,65.8890184467,0.0,-13.5662346994,0.0,2164298433.97,1,77.9026888263,77.8913390795,0.0,40.6829792427,65.1572063839,0.0,0.136316261621,1,2313.63330067,2513.27661133,2300.98657233,2525.92333967,2101.34326167,2725.56665033,2088.69653333,1
2010-01-12,2297.280029,2298.850098,2272.699951,2282.310059,2368320000.0,2307.899902,True,0.0112122552758,2171.199951,False,-0.0486831785023,1.0,2350.23779988,2266.37647705,2182.51515422,0.5949995863,7.40047592926,False,False,False,1.0,2213.5547595,2072.78634027,2032.91883667,1,1,2188.76377276,2190.58609566,2172.777115,1,1,2326.280029,0,22.4748179394,29.5054669941,22.7456058362,True,True,1.0,84.0,1,-25.7356245721,0.0,31.8413183472,32.8803451403,-1.03902679306,0,2.14675720775,1,61.1793883901,0.0,-0.382789719321,0.0,57.4069234621,0.0,63.1248738095,0.0,-51.7598532811,0.0,1758814355.21,1,60.9424607353,72.7948332738,0.0,0.0,46.8943264142,1.0,0.13894033284,1,2284.620036,2448.540121,2242.960043,2490.200114,2079.039958,2654.120199,2037.379965,1
2010-01-13,2289.459961,2313.030029,2274.120117,2307.899902,2318350000.0,2316.73999,True,0.00383036023024,2190.060059,False,-0.0510593387945,0.0,2352.9992195,2271.16646725,2189.333715,0.724442131908,7.20623110905,False,False,False,1.0,2217.25456901,2075.90042718,2035.65496667,1,1,2197.07804231,2193.93601481,2177.83055951,1,1,2326.280029,0,22.2746294592,30.2499432174,20.3047360999,True,True,1.0,84.0,1,30.6104474549,0.0,31.0785282262,32.5199817574,-1.44145353128,0,2.03087185024,1,62.1639669488,0.0,0.85212379108,0.0,62.438504511,0.0,62.7137360579,0.0,-25.3134553293,0.0,1976184499.86,1,49.950622989,62.9319241835,0.0,43.4702670328,28.0510820918,1.0,0.141372903029,1,2298.350016,2440.740071,2270.420003,2468.670084,2128.029948,2611.060139,2100.099935,0
2010-01-14,2303.310059,2322.560059,2303.290039,2316.73999,2254170000.0,2287.98999,False,-0.0124096791716,2190.909912,False,-0.0543134225434,0.0,2354.37760371,2276.9509643,2199.52432489,0.756946614269,6.80090530025,False,False,False,1.0,2221.15595807,2079.09035517,2038.45183257,1,1,2205.58130187,2197.43916194,2182.90457308,1,1,2325.20842744,0,22.3929567505,31.289631317,19.2055279393,True,True,1.0,84.0,1,113.818968434,0.0,30.8319215817,32.1823697223,-1.35044814055,0,1.90458938852,1,63.2135775867,0.0,1.11116758658,0.0,64.0197639135,0.0,62.6696672882,0.0,-16.6871646248,0.0,2169442004.14,1,55.275580848,55.3895548575,0.0,57.1315333044,33.5339334457,1.0,0.143688560648,1,2314.196696,2472.433431,2302.113363,2484.516764,2143.876628,2642.753499,2131.793295,0
2010-01-15,2316.97998,2322.540039,2279.199951,2287.98999,2637770000.0,2320.399902,True,0.0141652333016,2125.429932,False,-0.0710492872392,0.0,2351.51998019,2281.0049682,2210.48995621,0.549528615277,6.18280213951,False,False,False,1.0,2223.7769005,2081.85723775,2040.93479931,1,1,2210.10650478,2199.82070603,2186.40941952,1,1,2324.15825791,0,21.3862954846,27.6624774856,23.4225721199,False,True,1.0,84.0,1,-9.43197429155,0.0,27.9939030246,31.3446763828,-3.35077335812,0,1.70379302622,1,56.3388862229,0.0,0.830270753968,0.0,55.7933818416,0.0,57.0042683708,0.0,-66.9758461451,0.0,1552431562.32,1,58.8091896146,54.6784644839,0.0,0.0,33.5339334457,1.0,0.145480249444,1,2296.57666,2437.193359,2266.873291,2466.896728,2126.256592,2607.513427,2096.553223,0
