,date,sentiment
764,20100104,-10.0
765,20100105,-3.33333333333
766,20100106,-7.14285714286
767,20100107,-3.7037037037
757,20100108,-1.66666666667
860,20100111,-4.16666666667
859,20100112,-11.1111111111
858,20100113,-1.66666666667
862,20100114,0.0
861,20100115,-2.08333333333
856,20100119,-6.66666666667
974,20100120,-11.9047619048
975,20100121,-8.33333333333
973,20100122,-8.33333333333
972,20100125,2.38095238095
970,20100126,-1.66666666667
971,20100127,-10.0
968,20100128,-3.33333333333
969,20100129,-5.0
441,20100201,-6.66666666667
440,20100202,0.0
439,20100203,-2.77777777778
443,20100204,-10.0
442,20100205,-9.25925925926
445,20100208,-10.0
444,20100209,-10.0
339,20100210,-11.1111111111
340,20100211,-11.1111111111
341,20100212,-8.33333333333
342,20100216,-33.3333333333
343,20100217,-9.52380952381
344,20100218,-8.33333333333
345,20100219,-6.66666666667
635,20100222,0.0
634,20100223,-8.33333333333
637,20100224,-6.66666666667
636,20100225,-5.0
638,20100226,-3.33333333333
564,20100301,-16.6666666667
561,20100302,2.77777777778
562,20100303,-10.4166666667
565,20100304,5.0
566,20100305,0.0
557,20100308,0.0
558,20100309,0.0
870,20100310,-9.52380952381
654,20100311,-8.33333333333
656,20100312,-12.5
651,20100315,-3.7037037037
653,20100316,-5.55555555556
652,20100317,-5.55555555556
650,20100318,0.0
855,20100319,2.38095238095
320,20100322,-6.66666666667
321,20100323,-11.1111111111
317,20100324,4.7619047619
318,20100325,-10.0
319,20100326,-12.5
322,20100329,-11.1111111111
431,20100330,-5.55555555556
430,20100331,-4.16666666667
192,20100401,-3.33333333333
189,20100405,4.16666666667
191,20100406,8.33333333333
190,20100407,-6.25
194,20100408,-3.33333333333
193,20100409,-4.16666666667
64,20100412,-2.77777777778
65,20100413,2.77777777778
69,20100414,8.33333333333
70,20100415,-5.0
67,20100416,-6.25
72,20100419,-8.33333333333
1474,20100420,-6.25
1473,20100421,-8.33333333333
1472,20100422,-11.6666666667
1471,20100423,-12.962962963
1469,20100426,-4.16666666667
1468,20100427,-9.25925925926
1467,20100428,-3.33333333333
1466,20100429,-22.2222222222
1378,20100430,-13.3333333333
316,20100503,-4.16666666667
312,20100504,-6.66666666667
313,20100505,-13.3333333333
314,20100506,-11.6666666667
315,20100507,2.08333333333
429,20100510,-8.33333333333
428,20100511,-9.52380952381
427,20100512,-3.33333333333
426,20100513,-8.33333333333
425,20100514,-16.6666666667
424,20100517,-12.5
423,20100518,-8.33333333333
422,20100519,1.66666666667
534,20100520,-11.1111111111
535,20100521,-4.16666666667
538,20100524,-12.5
539,20100525,-10.4166666667
536,20100526,-25.0
537,20100527,-6.66666666667
540,20100528,0.0
1091,20100601,-4.16666666667
1090,20100602,-3.33333333333
1089,20100603,0.0
1088,20100604,-5.0
419,20100607,-3.7037037037
1093,20100608,-1.85185185185
1092,20100609,-6.66666666667
965,20100610,-10.4166666667
966,20100611,-22.2222222222
961,20100614,-16.6666666667
962,20100615,-4.16666666667
963,20100616,3.7037037037
964,20100617,-14.5833333333
967,20100618,-9.25925925926
1302,20100621,3.33333333333
1289,20100622,-7.40740740741
1288,20100623,-20.0
1285,20100624,-9.25925925926
1284,20100625,-1.85185185185
1281,20100628,-4.16666666667
1280,20100629,-3.33333333333
1192,20100630,-8.33333333333
1207,20100701,-7.14285714286
1206,20100702,-20.3703703704
1204,20100706,-11.1111111111
1205,20100707,-3.7037037037
1202,20100708,-2.38095238095
1203,20100709,-10.0
1297,20100712,-10.0
1296,20100713,-4.7619047619
1299,20100714,-6.25
1298,20100715,-8.33333333333
1300,20100716,-1.66666666667
1301,20100719,-14.2857142857
991,20100720,-6.66666666667
1356,20100721,-10.0
993,20100722,-10.4166666667
994,20100723,-5.55555555556
995,20100726,-13.3333333333
996,20100727,7.14285714286
1341,20100728,-2.08333333333
1342,20100729,-4.7619047619
1106,20100730,-5.55555555556
837,20100802,-10.0
836,20100803,4.7619047619
839,20100804,-5.0
838,20100805,6.25
840,20100806,-11.6666666667
835,20100809,0.0
731,20100810,-1.66666666667
732,20100811,-1.66666666667
729,20100812,-15.0
730,20100813,-10.4166666667
725,20100816,5.55555555556
1353,20100817,-8.881784197e-16
736,20100818,-8.33333333333
1151,20100819,-4.16666666667
623,20100820,-13.8888888889
709,20100823,-4.16666666667
627,20100824,2.08333333333
626,20100825,-3.7037037037
625,20100826,0.0
624,20100827,-4.7619047619
532,20100830,-3.33333333333
533,20100831,-4.7619047619
941,20100901,-8.33333333333
942,20100902,-1.85185185185
943,20100903,-11.1111111111
944,20100907,-19.0476190476
945,20100908,1.85185185185
946,20100909,-9.25925925926
1065,20100910,-14.5833333333
1064,20100913,0.0
1069,20100914,-5.55555555556
1068,20100915,0.0
311,20100916,-7.40740740741
308,20100917,-12.962962963
1181,20100920,-2.77777777778
1182,20100921,-3.7037037037
1179,20100922,-1.66666666667
1180,20100923,-6.66666666667
1178,20100924,-9.52380952381
1177,20100927,0.0
1183,20100928,-4.16666666667
1184,20100929,-4.7619047619
1264,20100930,-3.33333333333
488,20101001,-7.40740740741
486,20101004,-2.08333333333
487,20101005,-6.66666666667
484,20101006,-4.16666666667
485,20101007,-13.8888888889
489,20101008,1.85185185185
587,20101011,-18.3333333333
589,20101012,-3.33333333333
588,20101013,-10.0
591,20101014,5.0
590,20101015,2.38095238095
586,20101018,-16.6666666667
585,20101019,-5.55555555556
268,20101020,-10.0
269,20101021,-1.66666666667
270,20101022,0.0
271,20101025,0.0
272,20101026,-16.6666666667
273,20101027,-4.7619047619
274,20101028,-7.40740740741
275,20101029,-6.66666666667
367,20101101,-11.1111111111
366,20101102,-16.6666666667
365,20101103,2.38095238095
364,20101104,-3.33333333333
363,20101105,-6.66666666667
362,20101108,-5.55555555556
361,20101109,-11.1111111111
246,20101110,-9.25925925926
247,20101111,-6.66666666667
248,20101112,-9.52380952381
243,20101115,-5.55555555556
244,20101116,-3.33333333333
245,20101117,-11.6666666667
241,20101118,-5.0
242,20101119,-7.14285714286
570,20101122,0.0
569,20101123,-13.3333333333
567,20101124,-3.7037037037
568,20101126,-13.8888888889
571,20101129,-2.08333333333
468,20101130,0.0
703,20101201,0.0
704,20101202,11.1111111111
705,20101203,-3.33333333333
701,20101206,6.66666666667
702,20101207,-9.52380952381
707,20101208,-2.08333333333
1176,20101209,-6.66666666667
827,20101210,-28.5714285714
826,20101213,-8.33333333333
825,20101214,-8.33333333333
824,20101215,-3.7037037037
823,20101216,-5.0
822,20101217,-8.33333333333
927,20101220,-10.0
928,20101221,8.33333333333
925,20101222,6.25
926,20101223,-6.66666666667
929,20101227,-10.0
923,20101228,0.0
924,20101229,-5.55555555556
1044,20101230,8.33333333333
1043,20101231,-5.55555555556
447,20110103,16.6666666667
1115,20110104,0.0
1110,20110105,-3.33333333333
1117,20110106,-4.16666666667
450,20110107,-13.8888888889
604,20110110,-5.55555555556
352,20110111,0.0
349,20110112,0.0
350,20110113,2.38095238095
348,20110114,-10.4166666667
353,20110118,-11.1111111111
354,20110119,-18.75
1346,20110120,-14.2857142857
220,20110121,-2.77777777778
225,20110124,3.33333333333
224,20110125,-4.16666666667
697,20110126,-11.1111111111
222,20110127,-16.6666666667
227,20110128,-11.9047619048
109,20110131,-25.0
394,20110201,2.77777777778
