,date,sentiment
764,20100104,0.65
765,20100105,0.5
766,20100106,0.5
767,20100107,0.5
757,20100108,0.5
860,20100111,0.0
859,20100112,0.5
858,20100113,0.4
862,20100114,0.5
861,20100115,0.5
856,20100119,0.5
974,20100120,0.5
975,20100121,0.5
973,20100122,0.3
972,20100125,0.4
970,20100126,0.475
971,20100127,0.6
968,20100128,0.5
969,20100129,0.5
441,20100201,0.5
440,20100202,0.5
439,20100203,0.5
443,20100204,0.7
442,20100205,0.5
445,20100208,0.5
444,20100209,0.7
339,20100210,0.5
340,20100211,0.5
341,20100212,0.5
342,20100216,0.5
343,20100217,0.5
344,20100218,0.3
345,20100219,0.5
635,20100222,0.5
634,20100223,0.5
637,20100224,0.5
636,20100225,0.5
638,20100226,0.4
564,20100301,0.5
561,20100302,0.5
562,20100303,0.5
565,20100304,0.5
566,20100305,0.5
557,20100308,0.5
558,20100309,0.65
870,20100310,0.7
654,20100311,0.7
656,20100312,0.5
651,20100315,0.6
653,20100316,0.4
652,20100317,0.5
650,20100318,0.4
855,20100319,0.5
320,20100322,0.8
321,20100323,0.6
317,20100324,0.5
318,20100325,0.5
319,20100326,0.5
322,20100329,0.25
431,20100330,0.5
430,20100331,0.5
192,20100401,0.2
189,20100405,0.65
191,20100406,0.5
190,20100407,0.6
194,20100408,0.3
193,20100409,0.5
64,20100412,0.5
65,20100413,0.5
69,20100414,0.5
70,20100415,0.5
67,20100416,0.5
72,20100419,0.4
1474,20100420,0.4
1473,20100421,0.5
1472,20100422,0.5
1471,20100423,0.566666666667
1469,20100426,0.5
1468,20100427,0.5
1467,20100428,0.5
1466,20100429,0.3
1378,20100430,0.5
316,20100503,0.55
312,20100504,0.5
313,20100505,0.5
314,20100506,0.6
315,20100507,0.5
429,20100510,0.5
428,20100511,0.5
427,20100512,0.5
426,20100513,0.5
425,20100514,0.7
424,20100517,0.2
423,20100518,0.5
422,20100519,0.5
534,20100520,0.5
535,20100521,0.5
538,20100524,0.6
