date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,56.419998,56.939999,56.41,56.73,18556900.0,56.779999,True,0.000881350255597,53.869999,False,-0.0504142605323,1.0,56.6983944363,55.58899975,54.4796050637,1.01424450833,3.99141805494,True,True,False,1.0,55.4308071396,52.7083464077,52.1544127393,1,1,55.064151306,54.5897797428,53.2711968156,1,1,54.23,1,9.55741250097,33.2574392742,25.5570268319,False,True,0.0,-40.0,0,188.820114413,1.0,0.0217461946976,-0.0694886294278,0.0912348241253,1,-0.522295459036,0,53.8688616189,1.0,3.69219710642,0.0,58.214732923,0.0,61.7366578966,0.0,-7.74904344983,0.0,6434758.20242,1,50.9425048294,59.6213887658,0.0,100.0,50.6318948458,0.0,0.0520841319981,1,56.693333,59.156666,55.726666,60.123333,53.263333,62.586666,52.296666,1
2010-01-05,56.869999,57.099998,56.509998,56.779999,14352800.0,57.02,True,0.00422685812305,54.529999,False,-0.0396266297926,1.0,56.7261446061,55.5944998,54.4628549939,1.02379474267,4.0710674983,True,True,False,1.0,55.4837166244,52.7622755811,52.2004384732,1,1,55.0726624697,54.6214585949,53.3617275743,1,1,54.28419998,1,9.96308601027,32.9381667665,24.2278685053,False,True,0.0,-40.0,0,167.440204401,1.0,0.1064182292,-0.0343072577022,0.140725486902,1,-0.405419353202,0,51.8792625058,1.0,3.53756199854,0.0,58.5373872006,0.0,57.2345753706,0.0,-11.1497987107,0.0,5139077.36074,1,58.9639119831,52.9152838986,0.0,100.0,66.6666666667,0.0,0.0502216887415,1,56.796665,59.36333,55.93333,60.226665,53.366665,62.79333,52.50333,1
2010-01-06,56.68,57.09,56.669998,57.02,11888100.0,56.799999,False,-0.00385831287268,54.220001,False,-0.0491055594528,0.0,56.8786894746,55.62749975,54.3763100254,1.05647046272,4.49845752634,False,True,False,1.0,55.5439630312,52.818669282,52.2483943093,1,1,55.0858346902,54.6642169513,53.4447844643,1,1,54.3968319008,1,10.3397828403,31.6752619134,23.2989311746,False,True,0.0,-40.0,0,140.829801844,1.0,0.190689353335,0.0106920645052,0.17999728883,1,-0.184834591455,0,59.1286980098,1.0,3.67272727273,0.0,60.12889557,0.0,59.0887322824,0.0,-2.78738870201,0.0,6663561.44223,1,88.8380904984,66.2481691036,0.0,100.0,100.0,0.0,0.049007484698,1,56.926666,59.623332,56.193332,60.356666,53.496666,63.053332,52.763332,1
2010-01-07,56.639999,56.84,56.369999,56.799999,10906600.0,57.25,True,0.00792255295638,54.16,False,-0.0464788564521,0.0,57.0431228522,55.69849965,54.3538764478,0.909594058855,4.8282205467,False,False,False,1.0,55.5932193437,52.871402126,52.2936839082,1,1,55.1016566492,54.7001893689,53.5269124368,1,1,54.5049585448,1,10.2704583058,29.7727083151,24.6716829787,False,True,0.0,-40.0,0,99.0948116694,1.0,0.236990702975,0.0559517921992,0.181038910776,1,0.0105513731577,1,51.9191696601,1.0,3.555152363,0.0,57.9336678754,0.0,58.3258685506,0.0,-10.4529341135,0.0,9561017.749,1,87.588703599,78.4635686935,0.0,83.1032661872,94.3677553957,0.0,0.0482171579822,1,56.6699993333,59.1099986667,55.6799986667,60.0999993333,53.2399993333,62.5399986667,52.2499986667,1
2010-01-08,56.900002,57.310001,56.740002,57.25,12826500.0,57.720001,True,0.00820962445415,53.25,False,-0.0698689956332,0.0,57.2860095871,55.7954996,54.3049896129,0.987920380478,5.34276060887,False,False,False,1.0,55.6581911342,52.9293967998,52.3430004862,1,1,55.1300846953,54.748405806,53.6173610492,1,1,54.608760123,1,10.7182242135,32.6006917114,23.3473446961,False,True,0.0,-40.0,0,117.384491905,1.0,0.306463456078,0.106054124975,0.200409331103,1,0.322554410674,1,61.0567287378,1.0,3.43270473108,0.0,61.064872533,0.0,64.5521194234,0.0,-1.94808378309,0.0,13099109.228,1,91.1347632791,89.1871857922,0.0,100.0,94.3677553957,0.0,0.0479884852198,1,57.100001,59.970002,56.540002,60.530001,53.670001,63.400002,53.110002,1
2010-01-11,57.830002,57.860001,57.470001,57.720001,12387500.0,57.040001,False,-0.0117810115769,52.48,False,-0.0907831065353,0.0,57.6081692549,55.90749965,54.2068300451,1.03287873929,6.08386930387,False,True,False,1.0,55.739046423,52.9928485111,52.3965029789,1,1,55.1930623981,54.8077731394,53.7167615834,1,1,54.7708345756,1,11.6744743187,35.9543309363,21.9871229934,False,True,0.0,56.0,1,139.207597773,1.0,0.394894171973,0.163822134375,0.231072037598,1,0.700490105741,1,70.2221590288,1.0,3.86899586108,0.0,64.0728179364,0.0,65.5206670081,0.0,-4.26829398424,0.0,14467380.8939,1,89.4211829504,89.3815499429,0.0,100.0,94.3677553957,0.0,0.0484369012279,1,57.6833343333,61.1366686667,57.5066676667,61.3133353333,54.0533333333,64.7666696667,53.8766666667,1
2010-01-12,57.110001,57.380001,56.599998,57.040001,19029700.0,57.52,True,0.00841512958599,53.439999,False,-0.0631136384447,0.0,57.7425673845,55.98649975,54.2304321155,0.799960328776,6.2731824363,False,False,False,1.0,55.7900642496,53.0464531798,52.4427069393,1,1,55.2144812831,54.8467084533,53.8007593016,1,1,55.0179678896,1,11.3765144836,32.240307021,27.7399652252,False,True,0.0,56.0,1,68.8043759824,1.0,0.405432263663,0.212144160232,0.193288103431,1,0.940486278121,1,60.2758973137,1.0,2.20390607053,0.0,57.1889110179,0.0,65.6222711639,0.0,-25.000007622,0.0,14488202.0645,1,76.3958282519,85.6505914938,0.0,0.0,66.6666666667,1.0,0.0490893173557,1,57.0066666667,59.7833333333,56.1533323333,60.6366676667,53.3766656667,63.4133343333,52.5233313333,1
2010-01-13,57.279999,57.700001,56.939999,57.52,15446600.0,57.959999,True,0.00764949582754,54.330002,False,-0.0554589360223,0.0,57.9415840187,56.06249975,54.1834154813,0.887821949834,6.70353365299,False,False,False,1.0,55.8579048672,53.1057054555,52.4932272683,1,1,55.2777010754,54.8951271295,53.9075481096,1,1,55.2453305384,1,11.4323250439,32.9327096743,25.7929275498,False,True,0.0,56.0,1,91.4351332085,1.0,0.447358811128,0.259187090411,0.188171720716,1,1.17185731347,1,68.8044922076,1.0,2.89802851885,0.0,60.4214044214,0.0,63.1234561962,0.0,-11.5254537202,0.0,15766354.9265,1,70.9172426167,78.9114179397,0.0,46.9572503199,48.9857501066,1.0,0.0501201578121,1,57.3866666667,60.5433333333,56.9133323333,61.0166676667,53.7566656667,64.1733343333,53.2833313333,0
2010-01-14,57.5,58.0,57.5,57.959999,13362600.0,57.049999,False,-0.0157004833627,53.759998,False,-0.0724637866195,0.0,58.2142041673,56.19149965,54.1687951327,0.937162060722,7.19932562706,False,False,False,1.0,55.9403399313,53.1700007343,52.5476230069,1,1,55.3498384001,54.9486380891,54.0210035847,1,1,55.4545041753,1,11.7875257003,34.2149600515,24.571038138,False,True,0.0,68.0,1,121.090627757,1.0,0.510208774969,0.309391427323,0.200817347646,1,1.38049939611,1,69.3556620606,1.0,4.11352808024,0.0,63.166870207,0.0,66.4247772499,0.0,-1.43888540967,0.0,18427372.188,1,73.0968260628,73.4699656438,0.0,86.8396284237,44.5989595812,0.0,0.051647471417,1,57.8199996667,61.4099993333,57.6399993333,61.5899996667,54.0499996667,65.1799993333,53.8699993333,0
2010-01-15,57.509998,57.610001,56.779999,57.049999,19281700.0,57.610001,True,0.00981598614927,51.57,False,-0.0960560753033,0.0,58.297522107,56.24249965,54.187477193,0.696469714292,7.30772092221,False,False,False,1.0,55.9838559732,53.2213914398,52.592422768,1,1,55.3855485192,54.9824389307,54.096464774,1,1,55.7090537578,1,11.1937028842,30.5381539346,28.487595689,False,True,0.0,68.0,1,48.6730145197,1.0,0.481043262024,0.343721794263,0.137321467761,1,1.43525444464,1,61.7583738244,1.0,3.20188138932,0.0,54.7135901822,0.0,58.4699450378,0.0,-34.1727101341,0.0,15697160.495,1,68.8222813393,70.9454500063,0.0,0.0,44.5989595812,1.0,0.0531059245795,1,57.1466663333,60.0633326667,56.2933326667,60.9166663333,53.3766663333,63.8333326667,52.5233326667,0
2010-01-19,56.880001,57.68,56.84,57.610001,17507700.0,56.139999,False,-0.0255164376755,51.48,False,-0.106405153508,0.0,58.3982999696,56.38749975,54.3766995304,0.803983766788,7.13207795512,False,False,False,1.0,56.0476263664,53.2795187187,52.6423489196,1,1,55.432532204,55.0373697726,54.178447423,1,1,55.938148382,1,10.7215647165,28.8480813337,26.3193346758,False,True,0.0,68.0,1,66.9309089175,1.0,0.49738333864,0.374454103139,0.122929235501,1,1.56328813759,1,62.9153178592,1.0,1.55120923674,0.0,58.4027961642,0.0,61.6855180862,0.0,-14.0287460535,0.0,17795447.5662,1,67.1428802721,69.6873292247,0.0,43.6423018184,43.4939767474,1.0,0.0547472702994,1,57.376667,60.523334,56.753334,61.146667,53.606667,64.293334,52.983334,0
2010-01-20,56.369999,56.400002,55.619999,56.139999,24510100.0,54.939999,False,-0.0213751339753,50.459999,False,-0.10117563415,0.0,58.3392211362,56.4524997,54.5657782638,0.417184197413,6.68427951381,False,False,False,1.0,56.0512488226,53.3174058748,52.677151408,1,1,55.4387532471,55.0580493677,54.2187023712,1,1,58.0,0,10.9542397778,24.1571382919,32.0085483794,False,False,0.0,68.0,1,-96.5303025274,1.0,0.387252089964,0.377013700504,0.0102383894605,1,1.64491941663,1,54.0935924642,1.0,-1.12715746966,0.0,47.4706951863,0.0,53.0015756733,0.0,-66.9065348585,0.0,19635585.8388,1,42.0448604453,59.3366740189,0.0,0.0,14.5474339395,1.0,0.0557902410266,1,56.0533333333,57.8766666667,54.1066666667,59.8233333333,52.2833333333,61.6466666667,50.3366666667,0
2010-01-21,56.040001,56.18,54.580002,54.939999,22979100.0,53.869999,False,-0.0194757921273,52.049999,False,-0.0526028404187,0.0,58.3456173612,56.44949965,54.5533819388,0.101949646608,6.71792566069,False,False,False,1.0,56.0076703982,53.3388971744,52.6996673044,1,1,55.4365777855,55.0561601044,54.2330845079,0,1,57.95239998,0,12.0311965551,21.1756651765,36.080339006,False,False,0.0,68.0,1,-186.784816189,1.0,0.200827298666,0.341776420136,-0.14094912147,0,1.41563149183,1,51.6926889846,1.0,-3.64784461592,0.0,40.7628565261,0.0,46.9293543932,0.0,-89.4737657741,1.0,14581950.6139,1,34.8393109696,48.009017229,0.0,0.0,14.5474339395,1.0,0.0557348810198,1,55.2333336667,56.2366673333,52.4666673333,59.0033336667,51.4633336667,60.0066673333,48.6966673333,0
2010-01-22,54.700001,55.049999,53.790001,53.869999,27432500.0,54.529999,True,0.0122517173241,51.720001,False,-0.0399108602174,1.0,58.499247424,56.4004997,54.301751976,-0.102859665079,7.44230187748,False,False,True,1.0,55.9238401473,53.3459316357,52.7113123959,1,1,55.4124820484,55.0394246127,54.225983505,0,1,57.8175040608,0,13.5745391485,19.1692298057,38.6024700955,False,False,0.0,-20.0,0,-245.298844362,1.0,-0.0328767662963,0.26684578285,-0.299722549146,0,1.13150829222,1,48.9654812902,1.0,-5.15845079504,0.0,35.8926265274,0.0,42.9595425104,0.0,-98.0998095249,1.0,3568757.67241,1,11.4771563087,29.4537759079,1.0,0.0,4.73695157173e-15,1.0,0.0542495731908,1,54.2366663333,54.6833316667,50.4733326667,58.4466653333,50.0266673333,58.8933306667,46.2633336667,0
2010-01-25,54.860001,54.98,54.389999,54.529999,20242700.0,54.220001,False,-0.00568490749468,52.200001,False,-0.0427287372589,1.0,58.5679068309,56.35949975,54.1510926691,0.0857872477805,7.83685834933,False,False,False,1.0,55.8691797101,53.3616146472,52.72940878,1,1,55.403263695,55.0322916248,54.2320303284,0,1,57.5758538772,0,15.0076429853,17.5881744487,35.4185841096,False,False,0.0,-20.0,0,-147.466415022,1.0,-0.162954005041,0.180885825271,-0.343839830312,0,0.820433142674,1,49.166990583,1.0,-4.75109344978,0.0,40.6064064771,0.0,41.6204913889,0.0,-82.4228461812,1.0,-4645257.33682,0,10.5352761112,18.9505811299,1.0,20.9406682659,6.98022275529,1.0,0.0519188251765,1,54.6333326667,55.4766643333,51.2666653333,58.8433316667,50.4233336667,59.6866633333,47.0566663333,0
2010-01-26,54.049999,54.68,53.91,54.220001,22135300.0,54.16,False,-0.00110662115259,51.75,False,-0.0455551633059,1.0,58.6689023792,56.2919998,53.9150972208,0.064138888547,8.44490367256,False,False,False,1.0,55.8045060352,53.3729840028,52.7442405434,1,1,55.3882936742,55.0190414301,54.2318122339,0,1,57.3487027045,0,16.6586566477,16.5673578932,36.9809582048,False,False,0.0,-20.0,0,-131.351569191,1.0,-0.287738531066,0.087160954004,-0.37489948507,0,0.561866236121,1,42.0037261364,1.0,-6.0637559587,0.0,39.1502905568,0.0,39.6927792102,0.0,-89.7862208518,1.0,-8955244.51634,0,12.5182278603,11.5102200934,1.0,28.1365064017,16.3590582225,1.0,0.0487615889821,1,54.2700003333,54.7499996667,50.5400006667,58.4799993333,50.0600013333,58.9599986667,46.3300016667,0
2010-01-27,53.880001,54.209999,53.380001,54.16,27156000.0,53.25,False,-0.0168020679468,52.900002,False,-0.0232643648449,1.0,58.7560780227,56.20949975,53.6629214773,0.0975973383628,9.06102450305,False,False,False,1.0,55.7400156025,53.3834080558,52.7583277022,1,1,55.3767847084,55.0044994344,54.2305510448,0,1,57.1351806023,0,18.5204392525,15.5097949138,38.6479331035,False,False,0.0,-32.0,0,-120.86714361,1.0,-0.387011518338,-0.00767354046431,-0.379337977873,0,0.1399186832,1,35.2044420391,1.0,-5.04909002368,0.0,38.8598303961,0.0,44.7938002437,0.0,-83.1169011076,1.0,-2304773.75809,0,21.118432096,14.7239786892,1.0,60.925333495,36.6675027208,1.0,0.044925054801,1,53.9166666667,54.4533323333,49.8333333333,58.5366656667,49.2966676667,59.0733313333,45.2133343333,0
2010-01-28,54.189999,54.200001,52.849998,53.25,26142600.0,52.48,False,-0.0144600938967,52.970001,False,-0.0052581971831,1.0,58.93136574,56.07699965,53.22263356,0.00479378592408,10.1801669411,False,False,False,1.0,55.6423679318,53.3816410617,52.7632199638,0,1,55.3383982183,54.978104179,54.2140791635,0,1,56.8347662341,0,20.5526013957,13.966718297,38.7087676526,False,False,0.0,-36.0,0,-117.724848477,1.0,-0.532971704738,-0.112733173319,-0.420238531419,0,-0.41666083456,0,33.4465044465,1.0,-7.42350486787,0.0,34.6598621924,0.0,40.0696869643,0.0,-92.2329738901,1.0,-2763443.60585,0,20.8380357971,18.1582319178,1.0,0.0,29.6872799656,1.0,0.0401278272942,1,53.433333,54.016668,48.866666,58.583335,48.283331,59.16667,43.716664,0
2010-01-29,53.32,53.630001,52.330002,52.48,28917200.0,53.439999,True,0.018292663872,53.27,True,0.0150533536585,1.0,59.1732939897,55.91749975,52.6617055103,-0.0279049437665,11.644992191,False,False,True,1.0,55.5183535031,53.3696987959,52.7604018547,0,1,55.2537143924,54.9476108347,54.1878666292,0,1,56.4362894107,0,22.7148113953,12.6604741054,38.8295048929,True,False,0.0,-40.0,0,-120.417321779,1.0,-0.702678725938,-0.230722283843,-0.471956442095,0,-0.924446026452,0,27.3564683743,1.0,-9.45479484912,0.0,31.5523631091,0.0,37.9253247066,0.0,-97.3545316947,1.0,-9777522.16577,0,17.2331080257,19.7298586396,1.0,0.0,20.3084444983,1.0,0.0342204120163,1,52.8133343333,53.2966666667,47.6266686667,58.4833323333,47.1433363333,58.9666646667,41.9566706667,0
2010-02-01,53.200001,53.52,52.48,53.439999,23123800.0,54.330002,True,0.0166542480661,52.939999,False,-0.00935628760023,1.0,59.2478762172,55.82549975,52.4031232828,0.151484754396,12.2609792388,False,False,False,1.0,55.4368494049,53.3706299245,52.7671640154,1,1,55.2179400951,54.9268165219,54.175973723,0,1,55.9435349214,0,24.7225778234,11.7164138656,35.9340847536,True,False,0.0,-40.0,0,-93.2597705355,1.0,-0.751051215756,-0.334788070225,-0.41626314553,0,-1.43772712503,0,29.5668465413,1.0,-6.32778275772,0.0,38.9066845917,0.0,44.5021569465,0.0,-80.423326428,1.0,-5532427.97648,0,23.692054026,20.5877326162,1.0,96.7937840056,32.2645946685,0.0,0.0279306993702,1,53.1466663333,53.9633306667,48.2933326667,58.8166643333,47.4766683333,59.6333286667,42.6233346667,0
