date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,64.379997,64.68,64.089996,64.68,79300.0,64.32,False,-0.00556586270872,64.769997,True,0.00139141929499,1.0,65.2037205063,63.9195007,62.6352808937,0.796093899303,4.01824104445,False,False,False,1.0,62.3640620318,59.0638052119,58.3314627601,1,1,62.3077574887,61.8270753711,60.4007916175,1,1,64.89799804,0,14.2811265495,25.9305101275,24.1020476257,False,True,1.0,84.0,1,52.2548645652,0.0,0.678436133978,0.769398268197,-0.0909621342191,0,0.873030764546,1,66.5465694881,0.0,2.03502290637,0.0,61.9145180924,0.0,52.5016886278,0.0,-12.9728788896,0.0,-57400.6630693,0,38.4985015168,44.0635741562,0.0,59.5558239452,19.8519413151,1.0,0.159052954691,1,64.483332,69.366666,64.046666,69.803332,59.163332,74.686666,58.726666,1
2010-01-05,64.650002,64.650002,64.129997,64.32,58400.0,64.690002,True,0.00575251865672,64.779999,True,0.00715172574627,1.0,65.2200892519,63.97950075,62.7389122481,0.637232954151,3.87808122083,False,False,False,1.0,62.4407654815,59.1334236859,58.3910501953,1,1,62.3931132659,61.9027731649,60.5345045657,1,1,64.8764380792,0,13.5220850336,24.3497173314,22.6327227621,False,True,1.0,84.0,1,22.1225462039,0.0,0.636285112488,0.742775637055,-0.106490524567,0,0.85043902061,1,59.7836604839,0.0,1.10028451902,0.0,57.7587646099,0.0,52.3226532049,0.0,-32.4323593863,0.0,-46084.8709822,0,41.2121961434,36.8522367119,0.0,29.0487108565,29.5348449339,1.0,0.159308782941,1,64.3666663333,69.1333346667,63.8133346667,69.6866663333,59.0466663333,74.4533346667,58.4933346667,1
2010-01-06,64.209999,64.75,64.209999,64.690002,129300.0,64.940002,True,0.0038645848241,64.599998,False,-0.00139131237003,1.0,65.2628149477,64.0610008,62.8591866523,0.761688215771,3.75209295106,False,False,False,1.0,62.5289708352,59.2070207497,58.4537263327,1,1,62.5214172957,61.9914577994,60.6612512559,1,1,64.8553093176,0,12.9877694618,23.9965850204,21.2621999328,False,True,1.0,80.0,1,57.2717615176,0.0,0.625525524568,0.719325614558,-0.0938000899895,0,0.893157174642,1,67.0768038683,0.0,0.684828015564,0.0,60.6799404595,0.0,55.4418232571,0.0,-12.4322296565,0.0,-5267.34305881,0,72.3950635269,50.7019203957,0.0,67.7007178781,52.1017508933,1.0,0.159411747067,1,64.5500003333,69.5000026667,64.1800026667,69.8700003333,59.2300003333,74.8200026667,58.8600026667,1
2010-01-07,64.529999,64.989998,64.510002,64.940002,43100.0,65.110001,True,0.00261778556767,64.900002,False,-0.000615953168588,1.0,65.2299614931,64.1790008,63.1280401069,0.862050267441,3.27509210172,False,False,False,1.0,62.6235210769,59.2829542762,58.5182663891,1,1,62.6928569517,62.0952973509,60.8042012891,1,1,63.82,1,12.8955380772,25.421325198,20.0972333109,False,True,1.0,76.0,1,104.204600546,0.0,0.62991017193,0.701442526032,-0.0715323541024,0,0.912867774872,1,67.0245416245,0.0,0.355436568621,0.0,62.5637378486,0.0,57.3093438889,0.0,-2.60396104579,0.0,22766.419457,1,78.2433535174,63.9502043959,0.0,100.0,65.5831429115,0.0,0.159453922828,1,64.813334,70.02667,64.63667,70.203334,59.423334,75.41667,59.24667,1
2010-01-08,64.949997,65.129997,64.720001,65.110001,44600.0,65.449997,True,0.00522187060019,64.43,False,-0.010443879428,1.0,65.241575258,64.28900085,63.336426442,0.93093754309,2.9634133224,False,False,False,1.0,62.7210300935,59.360133703,58.5838557882,1,1,62.8610835811,62.2038554553,60.9488263532,1,1,63.84339996,1,13.0396794597,25.8399720931,19.1329304348,False,True,1.0,80.0,1,150.378362196,0.0,0.639728147248,0.689099650275,-0.0493715030273,0,0.910228283776,1,71.1564225444,0.0,1.14960069211,0.0,63.8326392677,0.0,62.7248821006,0.0,-1.06361871854,0.0,44971.7959002,1,95.7842473313,82.1408881252,0.0,100.0,89.233572626,0.0,0.15947542513,1,64.9866663333,70.3733346667,64.8433356667,70.5166653333,59.4566673333,75.9033336667,59.3133366667,1
2010-01-11,65.449997,65.57,65.190002,65.449997,33000.0,64.949997,False,-0.00763941975429,64.18,False,-0.0194040803394,1.0,65.4030277814,64.3825006,63.3619734186,1.02301223301,3.17020051071,False,True,False,1.0,62.8280484036,59.440794144,58.6521756012,1,1,63.1087971393,62.3349826314,61.0967913707,1,1,63.8948638416,1,13.8406713947,29.6655804583,18.0844862513,False,True,1.0,84.0,1,231.173309415,0.0,0.66725213193,0.684730146606,-0.017478014676,0,0.881690489261,1,71.0133200839,0.0,1.56734166458,0.0,66.2933634952,0.0,63.721612681,0.0,-6.66683333333,0.0,53835.6888133,1,95.1568718461,89.7281575649,0.0,100.0,100.0,0.0,0.159584071939,1,65.403333,71.206668,65.236666,71.373335,59.433331,77.17667,59.266664,1
2010-01-12,65.18,65.330002,64.790001,64.949997,50900.0,65.93,True,0.0150885765245,64.440002,False,-0.00785211737577,1.0,65.4312036682,64.45050045,63.4697972318,0.754662440545,3.04327572746,False,False,False,1.0,62.911262074,59.5137637182,58.7148404908,1,1,63.249620666,62.4344602888,61.2238390714,1,1,63.9953720111,1,13.7232012796,27.3498506763,21.4038103991,False,True,1.0,84.0,1,103.148391457,0.0,0.641326454608,0.676049408207,-0.0347229535985,0,0.840903082253,1,65.4847273238,0.0,0.339864034921,0.0,59.8449280488,0.0,65.3965284326,0.0,-35.4287428571,0.0,45969.2674416,1,81.3851209581,90.7754133785,0.0,0.0,66.6666666667,1.0,0.159495945506,1,65.0233333333,67.8666666667,64.4766666667,68.4133333333,61.6333333333,71.2566666667,61.0866666667,1
2010-01-13,65.169998,66.129997,65.169998,65.93,45200.0,66.400002,True,0.0071288032762,65.57,False,-0.00546033672076,0.0,65.7020931436,64.5355003,63.3689074564,1.09768054794,3.61535228891,False,True,False,1.0,63.0296439535,59.5987469803,58.7866331227,1,1,63.5440137871,62.5818769343,61.3940741914,1,1,64.0898496904,1,14.6983380245,32.6346474721,18.6071469566,False,True,1.0,92.0,1,202.376430135,0.0,0.691882628164,0.679216052198,0.0126665759656,1,0.864528392709,1,65.9353505089,0.0,2.02723141316,0.0,66.6850723143,0.0,64.7222086833,0.0,-8.65789003189,0.0,46961.6392422,1,77.9108404676,84.8176110906,0.0,100.0,66.6666666667,0.0,0.159634270027,1,65.7433316667,69.2466613333,65.3566663333,69.6333266667,61.8533366667,73.1366563333,61.4666713333,0
2010-01-14,65.980003,66.470001,65.839996,66.400002,60600.0,66.050003,False,-0.00527106911834,65.059998,False,-0.0201807825247,0.0,66.0545071035,64.64550055,63.2364939965,1.12260230289,4.35917903492,False,True,False,1.0,63.1618148573,59.6888298282,58.8623880369,1,1,63.8622841139,62.7436165162,61.5799557573,1,1,64.2530614752,1,15.9841843099,34.1253964434,17.3069300165,False,True,1.0,96.0,1,205.825293236,0.0,0.761100500571,0.695592941873,0.0655075586987,1,0.879430119559,1,75.1823923196,0.0,2.94573953488,0.0,69.3790870801,0.0,70.681652513,0.0,-2.64147070133,0.0,58095.4345082,1,79.3553676169,79.5504430142,0.0,100.0,66.6666666667,0.0,0.160115628632,1,66.2366663333,70.2333306667,66.0033316667,70.4666653333,62.0066673333,74.4633296667,61.7733326667,0
2010-01-15,66.550003,66.550003,65.610001,66.050003,33100.0,67.360001,True,0.0198334283195,63.290001,False,-0.0417865537417,0.0,66.2489849162,64.7485006,63.2480162838,0.933694103277,4.63480791773,False,False,False,1.0,63.2750771374,59.7730837775,58.9339065938,1,1,64.0828519526,62.8745554366,61.741572081,1,1,64.4747554277,1,16.6975629701,30.6805587694,18.0297642608,False,True,1.0,100.0,1,140.674967961,0.0,0.77873736926,0.71222182735,0.0665155419101,1,0.855454495746,1,75.0342549933,0.0,3.4942071451,0.0,65.1538328332,0.0,66.1700752835,0.0,-18.3149981886,0.0,56696.5459228,1,85.0818221954,80.78267676,0.0,55.6829896266,85.2276632089,0.0,0.160670293126,1,66.0700023333,69.9000026667,65.5900016667,70.3800033333,61.7600013333,74.2100036667,61.2800006667,0
