date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2010-01-04,57.959999,58.639999,57.959999,58.490002,839500.0,58.400002,False,-0.00153872451569,54.650002,False,-0.0656522460027,0.0,58.8212655373,56.4005006,53.9797356627,0.931578747652,8.58419663496,False,False,False,1.0,55.1038425344,50.9394505299,49.6890760637,1,1,54.934088086,55.1631037203,54.687728848,1,1,57.1294246144,1,25.5953183517,34.344404232,14.1986659025,True,True,1.0,96.0,1,104.070198154,0.0,0.967046737697,0.820124197433,0.146922540265,1,2.06917951328,1,77.1636802552,0.0,6.05621011582,0.0,69.45672057,0.0,65.6556695177,0.0,-4.17818941504,0.0,323738.684607,1,68.2520648311,73.8110191121,0.0,74.1995601777,58.0665200592,1.0,0.159947794771,1,58.3633333333,63.3766686667,58.0866676667,63.6533343333,53.0733323333,68.6666696667,52.7966666667,1
2010-01-05,58.540001,58.639999,58.07,58.400002,533400.0,57.990002,False,-0.00702054770478,55.07,False,-0.057020580239,0.0,59.0734475377,56.55150065,54.0295537623,0.866483005457,8.91911570406,False,False,False,1.0,55.2331036899,51.0382657812,49.7757519437,1,1,55.0576032827,55.2939774098,54.8535064821,1,1,57.4315394915,1,26.7314206345,32.251228539,13.333305067,True,True,1.0,100.0,1,91.820846876,0.0,0.98524574577,0.8531485071,0.13209723867,1,2.21042054631,1,78.4000205565,0.0,4.21127936811,0.0,68.3873607954,0.0,62.1749837129,0.0,-6.68515320334,0.0,350002.731221,1,62.1758772632,65.2538972792,0.0,59.8475804826,44.6823802201,1.0,0.162662204865,1,58.3700003333,63.3900026667,58.1000016667,63.6600013333,53.0799993333,68.6800036667,52.8100006667,1
2010-01-06,58.450001,58.580002,57.869999,57.990002,578900.0,57.77,False,-0.00379379190227,55.0,False,-0.0515606466094,0.0,59.1990547225,56.69650075,54.1939467775,0.75843623439,8.82789568793,False,False,False,1.0,55.3412173491,51.1303417576,49.8574857751,1,1,55.152838285,55.4008631918,54.9763272868,1,1,57.6732313932,1,27.3003005787,29.8137693321,14.4545488262,True,True,1.0,96.0,1,68.0448854615,0.0,0.955569803425,0.873632766365,0.0819370370601,1,2.35294749089,1,72.4291270332,0.0,2.43773357291,0.0,63.5846350948,0.0,54.831713328,0.0,-18.1057660167,0.0,206997.775002,1,69.0478592689,66.4919337878,0.0,0.0,44.6823802201,1.0,0.165199377043,1,58.1466676667,62.9433373333,57.6533363333,63.4366686667,52.8566666667,68.2333383333,52.3633353333,1
2010-01-07,57.970001,57.970001,57.5,57.77,351800.0,58.209999,True,0.00761639259131,55.34,False,-0.0420633546824,1.0,59.2181254244,56.8495008,54.4808761756,0.694310907377,8.33296542998,False,False,False,1.0,55.4364637276,51.2182842509,49.9362172599,1,1,55.2378353606,55.4884691831,55.0880321736,1,1,58.639999,0,26.9873203866,28.2281606124,17.7016916479,True,True,1.0,68.0,1,30.3695427331,0.0,0.903879719783,0.879682157049,0.024197562734,1,2.35379612256,1,66.1577360615,0.0,1.36865761121,0.0,61.1048443357,0.0,54.7647683105,0.0,-24.2339554318,0.0,146348.867587,1,48.0734701174,59.7657355498,0.0,0.0,19.9491934942,1.0,0.167401667137,1,57.746667,62.143336,56.853335,63.036668,52.456666,67.433337,51.563334,1
2010-01-08,57.639999,58.23,57.470001,58.209999,593600.0,57.93,False,-0.00481015297733,53.799999,False,-0.075760179965,0.0,59.3110376287,57.0005008,54.6899639713,0.761735321629,8.10707553896,False,False,False,1.0,55.5452298167,51.3108897443,50.0185434464,1,1,55.3651023999,55.5909038416,55.2152071057,1,1,58.61719902,0,27.0383911975,28.7162327417,16.2574758005,True,True,1.0,68.0,1,44.4888539917,0.0,0.888180802743,0.881381886188,0.00679891655563,1,2.35636815428,1,73.0064539929,0.0,1.55268492673,0.0,64.1188172693,0.0,62.5123230253,0.0,-13.3540331199,0.0,287165.055712,1,42.9655111599,53.362280182,0.0,36.0873754476,12.0291251492,1.0,0.169475551514,1,57.97,62.590002,57.300001,63.260001,52.679999,67.880003,52.01,1
2010-01-11,58.299999,58.470001,57.639999,57.93,411300.0,57.23,False,-0.012083549111,52.490002,False,-0.093906404281,0.0,59.3452847624,57.12850085,54.9117169376,0.680779720007,7.76069345218,False,False,False,1.0,55.638750216,51.3985600788,50.0972644071,1,1,55.5014036038,55.6767792129,55.3166096756,1,1,58.5713110992,0,27.3858963627,28.7336980511,14.8340708103,True,True,1.0,68.0,1,45.6588921645,0.0,0.843423260302,0.87379016101,-0.0303669007084,0,2.28478685067,1,73.9938338923,0.0,0.086383896227,0.0,60.8855080368,0.0,56.1898889614,0.0,-28.9795510204,0.0,279247.731901,1,42.0827509263,44.3739107345,0.0,0.0,12.0291251492,1.0,0.171229248979,1,58.0133333333,62.6766686667,57.3866676667,63.3033343333,52.7233323333,67.9666696667,52.0966666667,1
2010-01-12,57.540001,57.630001,56.93,57.23,701100.0,57.759998,True,0.00926084221562,53.32,False,-0.0683208107636,1.0,59.2669635635,57.22850085,55.1900381365,0.500367715826,7.12394238258,False,False,False,1.0,55.7011521684,51.4757976936,50.1682369006,1,1,55.5615226995,55.7272068095,55.3891480588,1,1,58.5272586952,0,26.2368229559,25.802514935,20.5636615483,True,True,1.0,68.0,1,-111.877536624,0.0,0.742904692745,0.847613067357,-0.104708374612,0,2.10589597825,1,64.5194049178,0.0,-1.24245209245,0.0,53.607485155,0.0,55.9036699166,0.0,-71.9387611932,0.0,218754.214286,1,40.2486058734,41.7656226532,0.0,0.0,12.0291251492,1.0,0.172300793365,1,57.2633336667,60.9966683333,55.8866683333,62.3733336667,52.1533336667,66.1066683333,50.7766683333,1
2010-01-13,57.279999,57.91,56.880001,57.759998,630200.0,58.200001,True,0.00761778073469,53.790001,False,-0.0687326374215,0.0,59.2680034885,57.3260007,55.3839979115,0.611739618134,6.77529485667,False,False,False,1.0,55.7818912206,51.5590321348,50.243776812,1,1,55.69325869,55.7990341294,55.4896922925,1,1,58.470001,0,25.5640072726,25.9429863026,18.4733173467,True,True,1.0,68.0,1,-81.4732252388,0.0,0.697963721665,0.817683198219,-0.119719476554,0,1.92387504753,1,66.432150731,0.0,-0.13831604426,0.0,57.7276686385,0.0,56.3566951299,0.0,-50.0001136365,0.0,316234.111893,1,37.6145801557,39.9819789851,0.0,39.1975387961,13.0658462654,1.0,0.173018419377,1,57.5166663333,60.7333336667,56.3933336667,61.8566663333,53.1766663333,65.0733336667,52.0533336667,1
2010-01-14,57.599998,58.34,57.59,58.200001,412400.0,57.41,False,-0.0135739001104,53.990002,False,-0.0723367513344,0.0,59.2437831597,57.46150065,55.6792181403,0.707178252043,6.20339702065,False,False,False,1.0,55.8767190551,51.6469919873,50.3229432219,1,1,55.8510892096,55.8837366034,55.6037828378,1,1,58.342801,0,25.4935714857,28.2604582349,17.1094778706,True,True,1.0,68.0,1,40.4492435604,0.0,0.689899511028,0.792126460781,-0.102226949753,0,1.74641970608,1,66.4117536484,0.0,0.120419746767,0.0,60.8372897168,0.0,58.6105517712,0.0,-24.9999147726,0.0,409594.106718,1,52.1821291127,43.3484383806,0.0,68.7810496636,35.9928628199,1.0,0.17360809671,1,58.0433336667,61.7866683333,57.4466683333,62.3833336667,53.7033336667,66.1266683333,53.1066683333,0
2010-01-15,58.189999,58.34,57.200001,57.41,399400.0,58.279999,True,0.0151541369099,52.459999,False,-0.0862219299774,0.0,59.1541492133,57.5420007,55.9298521867,0.459060626576,5.60338011772,False,False,False,1.0,55.9368477196,51.7233232192,50.3934611998,1,1,55.9298804051,55.9330809067,55.6721243273,1,1,56.880001,1,24.6850182794,25.213419307,18.9533044654,True,True,1.0,68.0,1,-74.6778375803,0.0,0.612699271799,0.756241022984,-0.143541751186,0,1.49847560699,1,60.6588274069,0.0,-0.225931521969,0.0,53.2616001821,0.0,54.8932786195,0.0,-69.8863862345,0.0,330288.621153,1,57.2326205451,49.0097766045,0.0,0.0,35.9928628199,1.0,0.173643285067,1,57.6500003333,61.0000016667,56.6600016667,61.9900003333,53.3100003333,65.3400016667,52.3200016667,0
