date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2003-01-02,19.549999,20.25,19.4,20.190001,90400.0,20.049999,False,-0.00693422452035,19.26,False,-0.0460624543803,1.0,20.2680416589,19.4880001,18.7079585411,0.949976601883,8.00535257485,False,False,False,0.0,19.0398302797,19.4280295626,20.4907224745,1,0,18.8363354247,17.5863413099,17.9685784717,1,1,18.780001,1,14.7665024419,26.5417706898,19.0440597621,False,True,1.0,-24.0,0,96.919709384,0.0,0.0827791487779,0.124382223958,-0.0416030751805,0,-0.55905441577,0,57.1389558341,0.0,2.74809669211,0.0,59.0273619293,0.0,52.5488672346,1.0,-4.05398648649,0.0,11260.1610722,1,45.2114869888,27.0514690977,1.0,100.0,33.3333333333,0.0,0.279651229475,1,19.946667,21.233334,18.533333,22.646668,17.246666,23.933335,15.833332,0
2003-01-03,20.0,20.15,19.799999,20.049999,176900.0,21.700001,True,0.0822943681942,18.620001,False,-0.0713215995672,1.0,20.2737319087,19.48950005,18.7052681913,0.857355381435,8.04773705525,False,False,False,0.0,19.0794447393,19.4362675684,20.4863371663,1,0,18.8616811886,17.6060317815,17.9971628139,1,1,18.80940098,1,14.8865707917,25.3332974606,18.1769647719,False,True,1.0,-24.0,0,98.5634909236,0.0,0.116364804762,0.122778740119,-0.00641393535722,0,-0.266228820455,0,61.248584053,0.0,1.98371820956,0.0,57.0644927637,0.0,52.4194505405,1.0,-13.5135810811,0.0,41862.9734052,1,67.3903091075,42.4565076014,1.0,86.2078575626,62.0692858542,0.0,0.272952622308,1,19.9999993333,21.3399986667,18.6399976667,22.7000003333,17.2999983333,24.0399996667,15.9399966667,0
2003-01-06,20.370001,21.700001,20.370001,21.700001,444300.0,21.23,False,-0.02165903126,17.84,False,-0.177880222218,0.0,20.8435093988,19.60200005,18.3604907012,1.34493965027,12.6671701424,False,True,False,0.0,19.1822116515,19.4662507926,20.4984134233,1,0,18.9710045209,17.6242104704,18.0366372109,1,1,18.8382129604,1,16.8441967878,37.1202995731,15.0540340196,False,True,1.0,68.0,1,302.117644237,0.0,0.272976349424,0.15281826198,0.120158087444,1,0.295597325174,1,73.0621194262,0.0,10.6578270955,0.0,69.8075007882,0.0,63.7561383264,1.0,-0.0,0.0,191944.762686,1,94.1043043793,68.9020334919,0.0,100.0,95.4026191875,0.0,0.269225286587,1,21.2566676667,23.8533353333,20.8133343333,24.2966686667,18.2166666667,26.8933363333,17.7733333333,0
2003-01-07,21.299999,21.5,21.0,21.23,266700.0,20.51,False,-0.0339142722562,18.01,False,-0.151672162035,0.0,21.1028819542,19.6735001,18.2441182458,1.0444660905,14.5310376594,False,True,False,0.0,19.2625170769,19.4896117093,20.5056928918,1,0,19.0370674629,17.6414973002,18.0704980231,1,1,18.952684482,1,18.6619923557,34.4186230209,13.9583766247,False,True,1.0,68.0,1,214.396268799,0.0,0.355073903226,0.193269390229,0.161804512997,1,0.814573334313,1,62.1416154721,0.0,6.68341708543,0.0,63.9822594119,0.0,63.0614617196,1.0,-16.0959246575,0.0,229103.607148,1,89.9677410563,83.8207848477,0.0,76.7101501676,87.6393359101,0.0,0.267182014035,1,21.2433333333,23.8266666667,20.7866656667,24.2833343333,18.2033323333,26.8666676667,17.7466646667,0
2003-01-08,21.15,21.15,20.42,20.51,75800.0,20.74,True,0.0112140419308,17.950001,False,-0.124817113603,1.0,21.1814094389,19.7540001,18.3265907611,0.764815382453,14.4518510852,False,False,False,0.0,19.3114379759,19.503126786,20.5057357486,1,0,19.0706897139,17.6591137413,18.0974153813,1,1,19.0625771427,1,19.1469976656,31.5565395478,18.7519812749,False,True,1.0,68.0,1,102.202504069,0.0,0.357913024829,0.226198117149,0.13171490768,1,1.22909396234,1,59.0431777888,0.0,2.80701239063,0.0,56.2398773519,0.0,61.576133583,1.0,-40.7534589041,0.0,205306.119083,1,77.2565304036,87.1095252798,0.0,0.0,58.9033833892,1.0,0.265394817624,1,20.6933333333,22.7266666667,19.6866656667,23.7333343333,17.6533323333,25.7666676667,16.6466646667,0
2003-01-09,20.74,20.969999,20.5,20.74,152100.0,20.700001,False,-0.00192859209257,18.25,False,-0.120057859209,0.0,21.294644844,19.8330001,18.371355356,0.810266877001,14.739522378,False,False,False,0.0,19.367460016,19.5195092126,20.5080667361,1,0,19.1045701921,17.6738820616,18.1266609522,1,1,19.168074097,1,19.5973597391,29.9977957228,17.8257220768,False,True,1.0,68.0,1,86.8317254035,0.0,0.374406205289,0.255839734777,0.118566470512,1,1.61466056154,1,67.6743676682,0.0,4.85338195888,0.0,57.9887595384,0.0,61.5553703177,1.0,-32.8767465753,0.0,177936.386095,1,60.4144253251,75.879565595,0.0,12.890114431,29.8667548662,1.0,0.264094971831,1,20.7366663333,22.8133326667,19.7733316667,23.7766673333,17.6966653333,25.8533336667,16.7333306667,0
2003-01-10,20.549999,20.790001,20.299999,20.700001,260000.0,20.85,True,0.00724632815235,18.049999,False,-0.128019414105,0.0,21.373701219,19.91800015,18.462299081,0.768599394007,14.6169400349,False,False,False,0.0,19.4197165252,19.5351448655,20.5099765298,1,0,19.1445137104,17.6905064215,18.1540308313,1,1,19.2693511731,1,19.6105775658,28.4215678364,19.0337605368,False,True,1.0,68.0,1,57.8127635266,0.0,0.379870671971,0.280645922216,0.0992247497552,1,1.80205543387,1,63.3847690554,0.0,5.28993387589,0.0,57.5579421111,0.0,64.113109254,1.0,-34.2465753425,0.0,202901.428422,1,42.1020213196,59.9243256828,0.0,9.71477993491,7.53496478865,1.0,0.263069528332,1,20.596667,22.533334,19.493333,23.636668,17.556666,25.573335,16.453332,0
2003-01-13,21.139999,21.139999,20.75,20.85,234800.0,21.09,True,0.0115107913669,18.16,False,-0.129016786571,0.0,21.4620896646,20.00700015,18.5519106354,0.789672848825,14.5458040059,False,False,False,0.0,19.4758060732,19.5525601652,20.5133598479,1,0,19.180949367,17.7055837452,18.1832777873,1,1,19.3665771662,1,20.0725690385,30.8936631022,18.113381475,False,True,1.0,68.0,1,78.4816021527,0.0,0.391788670973,0.302874471968,0.0889141990056,1,2.08785891347,1,64.5644674189,0.0,8.8772845953,0.0,58.7942625485,0.0,58.3221044151,1.0,-29.1096232877,0.0,158272.177522,1,41.2928646163,47.936437087,0.0,32.9922390405,18.5323778022,1.0,0.2624189509,1,20.913333,23.166666,20.126665,23.953334,17.873332,26.206667,17.086664,0
2003-01-14,20.99,21.139999,20.75,21.09,98000.0,20.5,False,-0.0279753437648,18.370001,False,-0.128971028924,0.0,21.5645222858,20.11050015,18.6564780142,0.836824256619,14.4603279377,False,False,False,0.0,19.5391077959,19.5729236068,20.5190975609,1,0,19.2252109656,17.7207577695,18.2135127099,1,1,19.4599141195,1,20.5015611203,29.5306122623,17.3142059369,False,True,1.0,68.0,1,74.0477504394,0.0,0.415806605565,0.325460898687,0.0903457068777,1,2.36322697413,1,63.7735668277,0.0,10.6505829303,0.0,60.7636483163,0.0,59.9882002112,1.0,-20.8904452055,0.0,148812.996517,1,55.7820312865,46.3923057408,0.0,100.0,47.5690063251,0.0,0.262349745154,1,20.993333,23.326666,20.286665,24.033334,17.953332,26.366667,17.246664,0
2003-01-15,21.0,21.209999,20.459999,20.5,129700.0,20.25,False,-0.0121951219512,18.4,False,-0.10243902439,0.0,21.6007324654,20.15200015,18.7032678346,0.620104951863,14.3780498669,False,False,False,0.0,19.5767898431,19.5852027643,20.5189075354,1,0,19.2397975441,17.7348073334,18.2390287909,1,1,19.5495175948,1,20.268320611,27.0581837488,19.1019359687,False,True,1.0,68.0,1,41.0690994398,0.0,0.382820011805,0.336932721311,0.0458872904946,1,2.78968516259,1,60.7754666604,0.0,7.555094835,0.0,53.9387046657,0.0,43.7208658431,1.0,-41.0959246575,0.0,94548.7449556,1,53.5842317051,50.2197092026,0.0,0.0,44.3307463468,1.0,0.261820792271,1,20.7233326667,22.7866653333,19.7466643333,23.7633336667,17.6833316667,25.8266663333,16.7066633333,0
