date,open,high,low,close,volume,close_1,result_1,perf_1,close_14,result_14,perf_14,results,bb_upper,bb_middle,bb_lower,bb_pct,bb_bandwidth,bb_squeeze,bb_signalup,bb_signaldn,bb_signal,ema50,ema150,ema200,ema_signal1,ema_signal2,kama50,kama150,kama200,kama_signal1,kama_signal2,sar,sar_signal,adx,plus_di,minus_di,adx_trend,adx_direction,adx_signal,aroon_osc,aroon_signal,cci,cci_signal,macd,macd_sigline,macd_hist,macd_signal,ppo,ppo_signal,mfi,mfi_signal,roc,roc_signal,rsi,rsi_signal,ult_osc,ult_signal,willr,wr_signal,ad_osc,ad_signal,stoch_slowk,stoch_slowd,sslow_signal,stoch_fastk,stoch_fastd,srsi_signal,trix,trix_signal,sr_pivotpts,sr_res1,sr_sup1,sr_res2,sr_sup2,sr_res3,sr_sup3,cv_signal
2006-01-03,22.780001,23.02,22.75,22.969999,470400.0,23.190001,True,0.00957779754366,23.110001,True,0.00609499373509,1.0,24.3382110931,23.54250015,22.7467892069,0.140258089355,6.75978284425,False,False,False,1.0,23.442070783,23.4041901974,23.3481863692,0,1,23.2232119453,23.3990672454,23.2698705123,0,0,23.2230266012,0,27.8247194233,11.005719636,28.3932824086,True,False,0.0,-92.0,0,-87.9387681232,1.0,-0.182752084794,-0.0749719146499,-0.107780170144,0,-1.49305907028,0,25.4897285238,1.0,-3.44683465965,0.0,32.1938512919,1.0,36.6563285302,0.0,-82.8125915527,1.0,-75435.821127,0,22.4949247242,13.3552933539,1.0,100.0,33.3333333333,0.0,0.0292182518972,1,22.913333,23.076666,21.606667,24.383332,21.443334,24.546665,20.136668,1
2006-01-04,23.0,23.27,22.99,23.190001,231000.0,23.27,True,0.00344971955801,23.23,True,0.00172483821799,1.0,24.2827593362,23.5020002,22.7212410638,0.300194973378,6.64419308642,False,False,False,1.0,23.4321856934,23.4013532544,23.3466123854,0,1,23.2224955496,23.3981673836,23.2694417801,0,0,22.75,1,27.2298643099,17.4293219419,25.8715919297,True,False,0.0,-92.0,0,-38.730097589,1.0,-0.172810720573,-0.0945396758345,-0.0782710447384,0,-1.59306357368,0,22.2221157951,1.0,-2.15189864338,0.0,42.2102938185,1.0,43.7644720466,0.0,-65.6249487305,1.0,5960.83822178,1,46.6598140016,25.9784968869,1.0,100.0,66.6666666667,0.0,0.025809037436,1,23.1500003333,23.5500006667,22.0800016667,24.6199993333,21.6800013333,25.0199996667,20.6100026667,1
2006-01-05,23.219999,23.360001,23.17,23.27,125000.0,23.48,True,0.00902449505801,23.469999,True,0.00859471422432,1.0,24.2212265647,23.4665002,22.7117738353,0.369820236058,6.43237260171,False,False,False,1.0,23.4258254702,23.3996134762,23.3458500731,0,1,23.2231991762,23.3976278666,23.2694454719,0,0,22.75,1,26.1470407737,19.1393190241,24.3939276479,True,False,0.0,-92.0,0,-8.68775142786,1.0,-0.1566708629,-0.106965913248,-0.0497049496526,0,-1.63555893459,0,23.0945863148,1.0,-1.35650699449,0.0,45.3704920602,1.0,44.7036667193,0.0,-56.6667027777,1.0,40810.658297,1,71.2870462718,46.8139283325,1.0,100.0,100.0,0.0,0.0225525162771,1,23.266667,23.783334,22.313335,24.736666,21.796668,25.253333,20.843336,1
2006-01-06,23.219999,23.59,23.219999,23.48,346200.0,23.49,True,0.000425894378194,23.629999,True,0.00638837308348,0.0,24.1836545473,23.4485002,22.7133458527,0.521423936425,6.27037414815,False,False,False,1.0,23.4279499615,23.4006781984,23.3471848983,1,1,23.2275850867,23.3980347861,23.2708558003,1,0,22.77440004,1,24.5864014965,23.7413156205,21.7845716073,True,True,1.0,-84.0,0,38.8536338921,1.0,-0.125488115574,-0.110670353713,-0.0148177618608,0,-1.61543063739,0,31.1826320035,1.0,-0.381841323717,0.0,52.6849560824,1.0,48.9817092217,0.0,-39.1667173611,1.0,96014.7682045,1,85.58870024,67.8451868378,0.0,100.0,100.0,0.0,0.0196946578654,1,23.4299996667,24.1099993333,22.6400003333,24.8999986667,21.9600006667,25.5799983333,21.1700013333,1
2006-01-09,23.5,23.5,23.299999,23.49,115000.0,23.440001,False,-0.00212852277565,23.870001,True,0.0161771392082,0.0,24.1551526383,23.4345002,22.7138477617,0.538506634441,6.15035466628,False,False,False,1.0,23.4303832964,23.4018612686,23.348605944,1,1,23.2334302677,23.3985577821,23.2725174268,1,0,22.8233360376,1,23.1372364535,22.3496458049,20.5076023257,True,True,1.0,-84.0,0,52.525728869,1.0,-0.0988294033883,-0.108302163648,0.00947276025966,1,-1.58976436037,0,32.1283960015,1.0,1.38109624514,0.0,53.0076182634,1.0,56.5384149973,0.0,-38.3333847222,1.0,142801.488898,1,86.7485872974,81.2081112697,0.0,100.0,100.0,0.0,0.0172032520068,1,23.4299996667,24.1099993333,22.6400003333,24.8999986667,21.9600006667,25.5799983333,21.1700013333,1
2006-01-10,23.33,23.52,23.33,23.440001,174200.0,23.610001,True,0.00725255941755,23.75,True,0.0132252127464,0.0,24.1055063727,23.4130002,22.7204940273,0.519494988684,5.91556969862,False,False,False,1.0,23.4307604612,23.4023664306,23.3495153476,1,1,23.2377214784,23.3987565689,23.273779234,1,0,22.8693358753,1,21.8908106678,21.6807113223,19.3473334055,False,True,1.0,-80.0,0,68.400426482,1.0,-0.0808052111816,-0.102802773155,0.0219975619731,1,-1.52481116634,0,36.9007532554,1.0,1.34025946132,0.0,51.1301529955,1.0,59.528453303,0.0,-34.2855564624,1.0,157711.81555,1,83.3333888889,85.2235588088,0.0,82.6117546293,94.2039182098,0.0,0.0149794739549,1,23.4300003333,24.1100006667,22.6400016667,24.8999993333,21.9600013333,25.5799996667,21.1700026667,1
2006-01-11,23.27,23.610001,23.27,23.610001,126500.0,23.51,False,-0.00423553561052,23.75,True,0.0059296482029,0.0,24.0669939901,23.4000002,22.7330064099,0.657423354702,5.7008015759,False,False,False,1.0,23.437789502,23.4051165573,23.3521072446,1,1,23.2446302781,23.3999675497,23.2767472239,1,0,22.9125757228,1,21.1761660448,22.151639663,17.4452393785,False,True,1.0,-72.0,0,97.8496475359,1.0,-0.0522015824022,-0.0926825350042,0.040480952602,1,-1.29799024348,0,56.4808860172,1.0,2.2077965368,0.0,56.7404734578,1.0,66.7913660184,0.0,-6.52163043478,0.0,189724.056857,1,87.698468254,85.9268148134,0.0,100.0,94.2039182098,0.0,0.0131921006066,1,23.4966673333,24.2433346667,22.7733356667,24.9666663333,22.0266683333,25.7133336667,21.3033366667,1
2006-01-12,23.65,23.65,23.49,23.51,161900.0,23.620001,True,0.00467890259464,23.950001,True,0.0187154827733,0.0,24.0052315711,23.3795002,22.7537688289,0.604277814748,5.35282076836,False,False,False,1.0,23.4406212862,23.406505742,23.3536783168,1,1,23.2477360915,23.4005388538,23.2783601509,1,0,22.968369745,1,20.7045097955,22.2867904626,16.6173049773,False,True,1.0,-72.0,0,118.63549234,1.0,-0.0371737298554,-0.0815807739744,0.044407044119,1,-1.08402663026,0,61.698969063,1.0,2.26185297956,0.0,52.8937484575,1.0,62.314199919,0.0,-15.5555555556,0.0,146937.104951,1,80.8140342827,83.9486304752,0.0,31.4348435868,71.348866072,0.0,0.011664998262,1,23.55,24.35,22.92,24.98,22.12,25.78,21.49,1
2006-01-13,23.610001,23.639999,23.48,23.620001,199800.0,23.379999,False,-0.0101609648535,23.860001,True,0.0101608801795,0.0,23.953201639,23.36500025,22.776798861,0.71676313145,5.03489306821,False,False,False,1.0,23.4476557848,23.4093334938,23.3563282938,1,1,23.2531771784,23.4016783322,23.2807673483,1,0,23.0365327705,1,20.1998946566,21.2031116928,16.1132043087,False,True,1.0,-48.0,0,106.24524925,1.0,-0.0162011305112,-0.0685048452818,0.0523037147706,1,-0.841141469191,0,67.1452069453,1.0,2.87457329593,0.0,56.3956577908,1.0,65.1376186178,0.0,-3.33322222222,0.0,163756.468716,1,86.5158208324,85.0094411231,0.0,93.8539042594,75.0962492821,0.0,0.0104920622942,1,23.58,24.41,22.98,25.01,22.15,25.84,21.55,1
2006-01-17,23.360001,23.450001,23.309999,23.379999,152600.0,23.440001,True,0.00256638163244,23.790001,True,0.017536442153,1.0,23.883878312,23.34100015,22.798121988,0.53591860267,4.65171293894,False,False,False,1.0,23.4450025775,23.4089449574,23.3565638232,0,1,23.2538206623,23.4015736024,23.2813861471,0,0,23.0978794934,1,18.8359857046,19.2500465454,19.6802927143,False,False,1.0,-48.0,0,37.6197001769,1.0,-0.0187304372301,-0.0585499636714,0.0398195264414,1,-0.62784853431,0,65.7091151726,1.0,2.27470681213,0.0,48.0096082443,1.0,60.2770167893,0.0,-30.0001111111,0.0,155749.472201,1,62.8315225868,76.720459234,0.0,0.0,41.7629159487,1.0,0.00934511907482,1,23.3799996667,24.0099993333,22.6300003333,24.7599986667,22.0000006667,25.3899983333,21.2500013333,1
