,date,text
0,20100104,Firms Selling Apps for Simple Phones Software companies want to sell functions similar to those found on the iPhone to users of much simpler phones.
1,20100104,"Nuance Communications Buys SpinVox, Which Converts Voice Mail to Text SpinVox was sold to Nuance Communications for $102.5 million, far less than the company was thought to be worth in recent years."
2,20100107,"AT&T to Sell Smartphones Using the Android System The wireless carrier will offer five new devices by makers including Dell, Motorola and HTC."
3,20100108,"Chinese Looking in America, but Not Buying As the United States housing market continues to struggle, potential buyers from China are checking out the market in increasing numbers."
4,20100111,"Under Low-Key Chief, Canal Plus Prospers The French cable television group has defied skeptics, reversed the damage from Vivendi's failed expansion and insulated itself against the advertising recession."
5,20100113,"Google Would Abandon a Lucrative Market Twenty or so other companies that may also have been attacked, are now in the difficult position of deciding whether to follow Google."
6,20100114,"Tough Confirmation for E.U.’s Ex-Antitrust Chief Despite major antitrust victories, Neelie Kroes will have to prove her consumer-friendliness if she wants to become commissioner for the bloc’s digital agenda."
7,20100114,"Billionaire Aims to Unite 3 Telecom Firms América Móvil, the company controlled by the billionaire Carlos Slim Helú, started a $21 billion offer for the Mexican telephone companies Telmex and Telmex Internacional."
8,20100122,"Indictments Against 7 in Galleon Insider Case Prosecutors have expanded the charges to include two acts of conspiracy, rather than one, and other counts of securities fraud."
9,20100125,"Bankers Face a Harsh Spotlight in Davos With a global recovery under way, the financial elite will not be in hiding as they were during last year's World Economic Forum. But they will still be on the defensive."
10,20100126,"Liberty Global Sells Stake in Japanese Company Liberty Global said Monday that it would sell its stake in Jupiter Telecommunications of Japan to KDDI Corporation, a Japanese wireless operator, for $4 billion."
11,20100126,"Is It Time for the E.U. to Forget About Lisbon, or to Try Again? Leaders are pondering whether they should stop setting such ambitious goals, or instead give their aspirations teeth by conferring new powers on the European Commission."
12,20100126,"E-Mail Saves Time, but Being There Says More E-mail and videoconferencing are widely used, but experts say bad news should be told in person."
13,20100126,"Bankers Return to Davos With a Bit Less Swagger As they gather for the World Economic Forum, bankers face increased calls for tighter regulation."
14,20100127,Emerging Economies Gain a Voice at Davos Developing nations may well be pushier this year in discussions about subjects such as free trade and financial regulation.
15,20100129,"AT&T’s Earnings Rise 26%, Driven by Wireless The company added a near-record 2.7 million wireless customers in quarter, defying expectations of an iPhone slowdown."
16,20100204,Europeans Revitalize Plants to Save Jobs Europeans are making old plants more modern and effective rather than watching workers or companies deemed uncompetitive fall by the wayside.
17,20100208,"An S.& P. Scoop Was a Blunder Standard & Poor’s got ahead of a bit of inside news, apparently inadvertently."
18,20100209,"As Data Flows In, the Dollars Flow Out The average American is expected to spend nearly $1,000 this year on services like cable, Internet and video games."
19,20100211,Google Set to Showcase Fast Internet The network is intended to showcase the potential new uses of ultra-high-speed broadband networks.
20,20100211,"Universal Music Names Grainge as Its Next Chief Lucian Grainge, the head of Universal’s international division, will have a long lead time before he takes sole possession of the post."
21,20100211,Motorola Considers Merging Units for a Spinoff The company’s plans to remake itself have included shopping its set-top box business and its wireless networking units.
22,20100212,Taiwan Gains Mainland Market Entry Taiwan’s decision to relax restrictions on investment in China is giving its flat-panel firms a leg up in China’s booming electronics market.
