,date,text
0,20100104,"Lax Oversight Caused Crisis, Bernanke Says Ben S. Bernanke’s remarks came as he awaited confirmation for a second term as Fed chairman and as he sought greater authority from Congress."
1,20100104,"Fault Lines Remain After Climate Talks Opinions about the results of the climate change talks in Copenhagen last month suggest that, if nothing else, the fault lines that preceded the conference are still very much in place."
2,20100104,"A Second Stab at Convergence If media companies are to improve on a vision that failed to come to fruition in the past decade, they will have be more atuned to consumer demands."
3,20100104,"News Sites Dabble With a Web Tool for Nudging Local Officials On SeeClickFix or on newspaper Web sites, residents can flag problems like potholes to bring them to the attention of government officials."
4,20100104,"The Smartphone Makes and Breaks In a decade, cellphones have become smart enough to displace P.D.A.’s and threaten landline phones, cameras and GPS devices. What may fall next?"
5,20100105,Manufacturing Data Helps Invigorate Wall Street Stocks bolted higher as a report showed that manufacturing activity rose for a fifth month.
6,20100105,"Cold and Signs of Stronger Economy Drive Oil Above $81 Optimism about a recovery in the United States, the cold weather and a softer dollar helped push the price higher."
7,20100105,Divergent Views on Signs of Life in the Economy This period might be called the Great Ambiguity — a time of debate over the clarity of economic indicators and the staying power of apparent gains.
8,20100105,"Credit Suisse Is Accused of Defrauding Investors in 4 Resorts Owners at four high-end resorts are seeking $24 billion from Credit Suisse and Cushman & Wakefield, claiming they knowingly inflated the value of resort projects."
9,20100105,"Google Moves to Keep Its Lead as Web Goes Mobile Google expects the Nexus One, its rival to the iPhone, to help it retain its leadership as computing shifts."
10,20100106,"Wall St. Ends Mixed on Disappointing Home Sales The new year in the equities markets began with a flourish, but trading was more subdued a day later."
11,20100106,"November Factory Orders Higher Than Forecast Orders to U.S. factories posted a surprisingly big gain, reflecting increased demand in several industries."
12,20100106,"Slowing Pace of Home Sales Raises Fears of New Retreat The number of houses placed under contract fell sharply in November in the first drop in nearly a year, new figures show."
13,20100106,"A Once-Defiant U.A.W. Local Now Focuses on G.M.’s Success U.A.W. Local 1112, long a thorn in General Motors’ side, is now working with the automaker to ensure its success and protect union members’ jobs."
14,20100106,Fed Missed This Bubble. Will It See a New One? A lack of explanation for why the Fed failed to recognize the economic bubble is the weak link in its push for power.
15,20100106,Asian Computer Makers Move Into Riskier Ventures Companies that once built devices to Silicon Valley’s specifications are now investing in start-ups so they can compete with their former customers.
16,20100106,Iceland’s Leader Vetoes Bill to Repay 2 Lenders The $5 billion compensation deal would have repaid the Britain and Dutch governments for their loans to compensate depositors.
17,20100107,"Wall Street Shows Little Change; Oil Rises Again Stocks were narrowly mixed as investors refrained from major moves ahead of economic data later in the week. Oil prices rose, settling at $83.18."
18,20100107,U.S. Service Sector Shows Modest Growth The expansion reflected a slowly improving economy — but it was too slight to generate much hiring.
19,20100107,"How to Sell Your Business Preparing a business for sale has a lot in common with starting it in the first place: The more you prepare, the more successful the outcome is likely to be."
20,20100107,"Interior Chief Vows Scrutiny of Oil and Gas Leases The secretary, Ken Salazar, said the goal of the new review process was to reduce the number of court and public challenges to leasing decisions."
21,20100107,Some at Fed See a Need to Do More for Housing Some members of the Federal Reserve suggested the bank may have to expand measures to help mortgage markets.
22,20100107,"Restructuring of Simmons Is Approved In its approved prepackaged restructuring plan, the mattress maker will cut its debt and be acquired by Ares Management and Teachers’ Private Capital."
23,20100107,A Drug’s Second Act: Battling Jet Lag Nuvigil from Cephalon could become the first medicine specifically approved by the F.D.A. to combat jet lag.
24,20100107,New York to Create Global Insurance Exchange to Cover Complex Risks The state&#8217;s governor hopes to keep companies from going offshore for complex coverage.
25,20100107,A Program Helps Sharpen the Business Acumen of Those on the Rise Inner City Entrepreneurs offers intensive instruction in the nuts and bolts of running small businesses to owners of thriving companies.
26,20100108,"To Slow Growth, China Raises an Interest Rate With China’s economy galloping ahead, the central bank raised a key interest rate for the first time in months."
27,20100108,"Finance Minister Wants Weaker Yen Analysts see a shift in tone in comments by Naoto Kan, Japan's new top finance official."
28,20100108,"Slight Increase in U.S. First-Time Jobless Filings The number of people claiming unemployment benefits for the first time barely rose last week, after two weeks of sharp drops, further evidence that layoffs are easing."
29,20100108,"Retailers See Holiday Sales Rebound From 2008 Retailing chains on Thursday confirmed that they had a better Christmas in 2009 than the previous year, which was the worst holiday season in decades."
30,20100108,"Shares End Mostly Higher, Helped by Stronger Retail Data Traders seem hesitant about several sectors, particularly the housing and labor markets, and are waiting for signals on higher interest rates."
31,20100108,"Chinese Looking in America, but Not Buying As the United States housing market continues to struggle, potential buyers from China are checking out the market in increasing numbers."
32,20100108,"Contrarian Investor Sees Economic Crash in China James Chanos, who predicted Enron’s collapse, insists that the economic boom in China is headed for a fall."
33,20100108,"A Campaign Linking Clean Clothes With Stylish Living Procter and Gamble’s new ads for Tide, the best-selling detergent in America, grew out of research gathered when the economy started to nosedive."
34,20100108,Britain’s Central Bank Leaves Key Rate and Stimulus Unchanged Policy makers could make adjustments in rates and stimulus measures next month when they get new statistics on the economy.
35,20100108,Sensible Rules to Regulate Risk Seeing encouraging signs in the banking regulations proposed by the Federal Deporsit Insurance Corporation.
36,20100111,Goldman Sachs Considers Charity Requirement The firm may expand a program that requires executives to give a certain percentage of their earnings to charity.
37,20100111,"How the AOL-Time Warner Merger Went So Wrong On the 10th anniversary of the merger, the executives responsible reflect on why they did it and why it failed."
38,20100111,U.S. Bankers Are Fed Up With British Regulations An executive pay requirement by a British regulator is pushing some U.S. banks to insist they won’t take it.
39,20100111,"Lawmakers’ Visits on the First Day of the Detroit Auto Show Seem to Set a Pattern As lawmakers and government officials make the auto show preview an annual stop, advantages and disadvantages are seen."
40,20100111,"NBC Expects Winter Olympics to Lose Money for the Network A rebound in advertising revenue for the Games, after a weak start, would not be enough to overcome the increase in license fees that NBC agreed to pay to broadcast the Olympics."
41,20100111,"China Becomes World’s No. 1 Exporter, Passing Germany The country’s total 2009 exports rose to $1.2 trillion, ahead of the 816 billion euros ($1.17 trillion) for Germany forecast by its foreign trade organization, BGA."
42,20100111,N.C.A.A. Wants the Young Madder About March The National Collegiate Athletic Association is hoping to generate even more mania for its annual basketball tournament.
43,20100111,"Talk to The Times: Micheline Maynard, Aviation Correspondent Micheline Maynard is answering questions from readers."
44,20100112,The E.U's Big Challenge: To Bring Greece Into Line Greece's debt crisis is the biggest credibility test the euro zone has faced since the single currency was created.
45,20100112,"Shares Edge Higher as Investors Await Earnings Wall Street searched for direction for much of the day, but a late rally pushed shares into positive territory."
46,20100112,"Obama Weighs Tax on Banks to Cut Deficit With popular anger still simmering even after many banks have repaid bailout funds, the levies may deter future risky behavior as well as raise revenue."
47,20100112,"Ruble Jumps as Russia Returns From Holidays Currency has its best day in more than a decade, partly because the market was closed for 10 days."
48,20100112,High Energy Costs and Dollar’s Decline Undermine Alcoa’s Profit An increase in energy costs and the dollar’s decline against the euro and the Brazilian real hold down profit for the giant aluminum producer.
