date,text,sentiment
20100104,Firms Selling Apps for Simple Phones Software companies want to sell functions similar to those found on the iPhone to users of much simpler phones.,1
20100104,"Watching TV Together, Miles Apart Technology now makes it possible for friends separated by distance to watch TV shows together and then talk about it on Skype.",0
20100104,"The Smartphone Makes and Breaks In a decade, cellphones have become smart enough to displace P.D.A.äó»s and threaten landline phones, cameras and GPS devices. What may fall next?",1
20100105,"Google Moves to Keep Its Lead as Web Goes Mobile Google expects the Nexus One, its rival to the iPhone, to help it retain its leadership as computing shifts.",1
20100106,"Google Introduces Nexus One, Its Rival to the iPhone Google stepped up its attack on the wireless industry, unveiling a touchscreen phone that does not lock a consumer into one carrier.",1
20100106,"Google Shakes but Doesnäó»t Upend the Cellphone Market The Nexus One has cool features and clunky ones, but in the end, we should root for the success of the Google Store.",0
20100111,"Optimism Takes Charge at Consumer Electronics Show This year, there was more talk about tablet-size reading devices and 3-D television than about how to weather the economic storm.",1
20100114,"The Fine Print Behind Google's Nexus One Google was not at all prepared for its moment to become a hardware company overnight. You call HTC for hardware questions, Google for software questions, T-Mobile for cell-service questions.",0
20100115,Burst of Mobile Giving Adds Millions in Relief Funds Americans are using their cellphones and social media like Facebook to make a donation to the Haiti relief effort.,1
20100119,"Big, in Banks, Is in the Eye of the Beholder There is still little agreement between lawmakers and bankers on how to limit the risks created by huge financial institutions.",0
20100121,"Packing a Series of Pluses New versions of the Pre and Pixi can become personal Wi-Fi hot spots, at a price, of course.",1
20100122,"Food Network and HGTV Back Aboard Cablevision Cablevision and Scripps Networks settle a long-running dispute over fees, returning two popular channels to three million subscribers.",1
20100125,"Looking Ahead Economic data, corporate earnings and meetings.",1
20100127,"Verizon Posts Loss, Citing Charge Related to Layoffs Revenue rose 10 percent to $27.1 billion, largely because of Verizon&#8217;s acquisition of the Alltel Corporation.",0
20100127,Shares End Lower After a Day of Wandering Shares tried but could not finish higher on Tuesday as a strong report on consumer confidence was unable to overcome concerns about the pace of the economy.,0
20100128,Connecting a PSP to a Mac Can a Sony PSP work with a Mac?,1
20100128,"Will You Be My Frugal Valentine? After a 17 percent fall in Valentineäó»s Day spending last year, marketing campaigns are emphasizing low prices this year.",0
20100129,"AT&Täó»s Earnings Rise 26%, Driven by Wireless The company added a near-record 2.7 million wireless customers in quarter, defying expectations of an iPhone slowdown.",1
20100208,"An S.& P. Scoop Was a Blunder Standard & Pooräó»s got ahead of a bit of inside news, apparently inadvertently.",0
